Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Mauritius","MUS","","732000000","1585000000","1808000000","1778000000","1593000000","1719000000","1680000000","1824000000","2005000000","2161000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Mexico","MEX","","9133000000","12628000000","12458000000","13320000000","14311000000","16606000000","18729000000","20619000000","22467000000","23802000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Micronesia, Fed. Sts.","FSM","","17000000","24000000","22000000","22000000","27000000","29000000","25000000","","","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Moldova","MDA","","57000000","222000000","253000000","279000000","324000000","328000000","300000000","344000000","443000000","500000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Monaco","MCO","","","","","","","","","","","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Mongolia","MNG","","43000000","288000000","197000000","215000000","236000000","257000000","279000000","379000000","462000000","526000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Montenegro","MNE","","","765000000","926000000","860000000","929000000","959000000","947000000","978000000","1110000000","1224000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Morocco","MAR","","2280000000","8176000000","9101000000","8491000000","8201000000","9070000000","7765000000","7922000000","9086000000","9523000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Mozambique","MOZ","","74000000","135000000","171000000","224000000","228000000","225000000","202000000","114000000","164000000","331000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Myanmar","MMR","","195000000","91000000","334000000","550000000","964000000","1687000000","2199000000","2289000000","1988000000","1670000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Namibia","NAM","","193000000","473000000","520000000","635000000","361000000","552000000","540000000","349000000","449000000","488000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Nauru","NRU","","","600000","1000000","1000000","1500000","6800000","1700000","3400000","3900000","1600000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Nepal","NPL","","219000000","378000000","415000000","379000000","460000000","511000000","509000000","498000000","712000000","744000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Netherlands","NLD","","11285000000","11653000000","12897000000","17675000000","19429000000","19669000000","17558000000","21151000000","23414000000","25850000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","New Caledonia","NCL","","111000000","226000000","285000000","288000000","287000000","287000000","246000000","248000000","","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","New Zealand","NZL","","2272000000","6523000000","7295000000","7142000000","7434000000","8582000000","9464000000","9773000000","10594000000","10961000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Nicaragua","NIC","","129000000","314000000","391000000","421000000","417000000","446000000","528000000","642000000","841000000","544000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Niger","NER","","23100000","105500000","54000000","51000000","59000000","100000000","80000000","84000000","91000000","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Nigeria","NGA","","186000000","736000000","688000000","638000000","616000000","605000000","461000000","1088000000","2615000000","1977000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","North Macedonia","MKD","","88000000","199000000","242000000","237000000","270000000","298000000","268000000","283000000","331000000","387000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Northern Mariana Islands","MNP","","","","","","","","","","","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Norway","NOR","","2521000000","5299000000","6565000000","6784000000","7175000000","7503000000","6370000000","6285000000","6840000000","7096000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Oman","OMN","","377000000","1072000000","1515000000","1723000000","1888000000","1971000000","2247000000","2390000000","2717000000","2975000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Pakistan","PAK","","551000000","998000000","1127000000","1014000000","938000000","971000000","915000000","791000000","866000000","818000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Palau","PLW","","45000000","76000000","94000000","109000000","117000000","131000000","156000000","148000000","123000000","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Panama","PAN","","628000000","2621000000","3630000000","4585000000","5419000000","5749000000","5754000000","6280000000","6824000000","5615000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Papua New Guinea","PNG","","7000000","2400000","5100000","2400000","3700000","2800000","1700000","1600000","15300000","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Paraguay","PRY","","88000000","243000000","261000000","291000000","299000000","314000000","348000000","356000000","399000000","393000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Peru","PER","","861000000","2475000000","2814000000","3074000000","3916000000","3907000000","4140000000","4288000000","4573000000","4894000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Philippines","PHL","","2334000000","3441000000","4053000000","4963000000","5599000000","6059000000","6414000000","6289000000","8349000000","9730000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Poland","POL","","6128000000","10036000000","11652000000","11889000000","12433000000","12925000000","11355000000","12052000000","14083000000","15748000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Portugal","PRT","","6029000000","12984000000","14911000000","14578000000","16080000000","17577000000","16007000000","17347000000","21586000000","24105000000",""
