,iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,medical_doctors,ghs_score,health_expenditure_5y_avg,GDP growth (annual %),GDP per capita growth (annual %),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)",Population density (people per sq. km of land area),"Population, total",Surface area (sq. km),Female share of employment in senior and middle management (%),Firms with female participation in ownership (% of firms),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Proportion of seats held by women in national parliaments (%),"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",Women who were first married by age 18 (% of women ages 20-24),overweight_in_percent,stunting_in_percent,underweight_in_percent,"Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","International tourism, expenditures (% of total imports)","International tourism, expenditures (current US$)","International tourism, number of arrivals","International tourism, number of departures","International tourism, receipts (% of total exports)","International tourism, receipts (current US$)",lockdown_date,lockdown_type,di_score,di_electoral_process_and_pluralism,di_functioning_of_government,di_political_participation,di_political_culture,di_civil_liberties,di_regime_type,household_avg_people,household_members_1,household_members_2_3,household_members_4_5,household_members_6_or_more
10,AUS,Oceania,Australia,2020-06-23,7474.0,102.0,293.099,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,36.78,75.5,9.102673083543777,2.94033358170461,1.3711444953559597,53250.0,49440.0,1330436971362.72,1235210799693.42,3.24787091037205,24982688.0,7741220.0,,,84.9,80.7,28.7,88.0240020751953,79.6510009765625,,13.875,1.0,0.1,,,13.6525023236232,42351000000.0,9246000.0,11403000.0,14.4597046066668,47327000000.0,24/03/2020,Full,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,2.5,24.34,49.95,22.44,3.27
11,AUT,Europe,Austria,2020-06-23,17320.0,690.0,1923.0770000000002,13.748,45436.685999999994,0.7,145.183,6.35,28.4,30.9,,51.7,58.5,10.36748364567756,2.4197636378075202,1.92211865205813,49350.0,56720.0,436266719832.367,501391213443.661,107.127966860564,8840521.0,83879.00390625,28.8600006103516,,84.0,79.4,34.4,90.5849990844727,85.7409973144531,,,,,,,6.011423008614591,14256000000.0,30816000.0,11883000.0,10.0119483521856,25411000000.0,16/03/2020,Full,8.29,9.58,7.86,8.33,6.88,8.82,Full democracy,2.27,36.34,44.52,17.06,2.08
12,AZE,Asia,Azerbaijan,2020-06-23,13207.0,161.0,1302.5710000000001,3.8710000000000004,15847.419,,559.812,7.11,0.3,42.5,83.241,34.46,34.2,6.110159382224082,1.41287352692132,0.5378178996669191,4050.0,13780.0,40259865257.7429,136981821074.384,120.234667956937,9939800.0,86600.0,,,75.336,70.345,16.8,26.9309997558594,36.3569984436035,,9.183333333333334,21.816666666666666,8.083333333333334,89.073,149.499,13.8546875412132,2453000000.0,2633000.0,3919000.0,11.104800950759302,2830000000.0,02/03/2020,Full,2.75,0.5,3.21,2.78,3.75,3.53,Authoritarian,4.55,6.77,20.86,44.69,27.68
13,BDI,Africa,Burundi,2020-06-23,144.0,1.0,12.11,1.504,702.225,71.7,293.068,6.05,,,6.144,1.0,22.8,7.324026525020601,1.6099330823452198,-1.55740735383216,280.0,780.0,3136470012.17088,8735142928.3698,435.17827102803705,11175378.0,27830.0,,,63.031000000000006,59.435,36.4,3.14000010490417,7.750999927520749,,1.775,57.6,32.25,253.135,310.651,2.54060975902162,23000000.0,,,1.3679147957593603,3900000.0,,,2.15,0.0,0.07,3.33,5.0,2.35,Authoritarian,4.83,6.04,25.17,31.72,37.07
14,BEL,Europe,Belgium,2020-06-23,60550.0,9696.0,5224.504,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,30.71,61.0,10.34148216247558,1.45840535284985,0.9428452679370452,45870.0,52590.0,524407874219.178,601270822533.0961,377.58441215323603,11433256.0,30530.0,33.4500007629395,,83.9,79.4,38.0,89.2870025634766,83.1009979248047,,,,,49.245,80.262,4.637166279472161,20830000000.0,9119000.0,13098000.0,2.3150175716463797,10381000000.0,17/03/2020,Full,7.64,9.58,8.21,5.0,6.88,8.53,Flawed democracy,2.32,34.05,46.5,17.26,2.19
15,BEN,Africa,Benin,2020-06-23,807.0,13.0,66.567,1.942,2064.236,49.6,235.84799999999998,0.99,0.6,12.3,11.035,0.79,28.8,3.8236450403928743,6.69725946087986,3.818777310836,1200.0,3200.0,13735899664.4805,36807560719.8431,101.853919829727,11485048.0,114760.0,,,63.003,59.913999999999994,7.2,5.0479998588562,16.370000839233402,30.6,2.275,35.375,20.125,211.00799999999998,258.647,,,295000.0,,,,,None,5.09,4.67,5.71,4.44,5.63,5.0,Hybrid regime,5.19,9.78,23.56,29.1,37.56
16,BES,North America,Bonaire Sint Eustatius and Saba,2020-06-23,7.0,0.0,266.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BFA,Africa,Burkina Faso,2020-06-23,907.0,53.0,43.39,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.85,30.1,6.326977238059041,6.83238810300897,3.8129120222439403,670.0,1890.0,13256859813.9411,37372210558.3988,72.1912828947368,19751535.0,274220.0,,,61.863,60.361000000000004,11.0,9.586000442504881,15.1780004501343,,2.2500000000000004,33.346153846153854,25.076923076923073,228.16,260.379,,,144000.0,,,,21/03/2020,Full,4.04,3.92,2.71,4.44,5.0,4.12,Hybrid regime,5.92,6.64,19.51,27.4,46.46
18,BGD,Asia,Bangladesh,2020-06-23,115786.0,1502.0,703.057,3.262,3523.9840000000004,14.8,298.003,8.38,1.0,44.7,34.808,5.81,35.0,2.4097004160285005,7.86370889257542,6.73701752220683,1750.0,4760.0,282036256832.37396,767585094798.94,1239.5793116693599,161356039.0,147630.0,,,74.291,70.637,20.3,31.7159996032715,43.4010009765625,,0.9625000000000002,54.22916666666666,46.26666666666666,114.505,151.411,1.8435684287791598,1208000000.0,,,0.8082625792002891,357000000.0,19/03/2020,Full,5.88,7.83,6.07,6.11,4.38,5.0,Hybrid regime,4.47,1.74,29.71,45.59,22.96
19,BGR,Europe,Bulgaria,2020-06-23,3984.0,207.0,573.366,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,40.33,45.6,8.179084956645966,3.08115723374425,3.82817987786268,8860.0,22650.0,62262010776.1635,159112124919.56,64.7110998526161,7025037.0,111000.0,39.279998779296896,,78.4,71.5,23.8,91.3990020751953,85.70899963378909,,9.0,7.466666666666666,2.0,,,5.41494713377715,2247000000.0,9273000.0,6699000.0,11.672969963045599,5072000000.0,13/03/2020,Full,7.03,9.17,6.43,7.22,4.38,7.94,Flawed democracy,2.34,30.53,50.97,16.62,1.89
