,total_deaths,total_deaths_per_million,gdp_per_capita,cvd_death_rate,health_expenditure_5y_avg,smokers_percentage,iso_code,location
1,598.0,1.6087210543869852e-11,1803.987,597.029,10.235867053270347,23.30724110995316,AFG,Afghanistan
2,9.0,2.921152068620329e-13,5819.495,276.045,2.655480094254014,34.577906817711934,AGO,Angola
6,303.0,3.146104141861677e-11,67293.483,317.84,3.50889950990677,19.481,ARE,United Arab Emirates
7,1043.0,2.344109840806848e-11,18933.907,191.032,8.41735973954201,22.0075,ARG,Argentina
8,360.0,1.2196047396550415e-10,8787.58,341.01,10.186804085969909,27.053,ARM,Armenia
10,102.0,4.082827276232245e-12,44648.71,107.791,9.102673083543776,14.767499999999998,AUS,Australia
11,690.0,7.804969865463811e-11,45436.686,145.183,10.367483645677561,29.6625,AUT,Austria
12,161.0,1.6197509004205315e-11,15847.419,559.812,6.110159382224082,21.610999999999997,AZE,Azerbaijan
13,1.0,8.948243182467742e-14,702.225,293.068,7.324026525020602,17.111355090990962,BDI,Burundi
14,9696.0,8.480523833280738e-10,42658.576,114.898,10.34148216247558,28.2815,BEL,Belgium
15,13.0,1.131906457857207e-12,2064.236,235.848,3.8236450403928735,6.5085,BEN,Benin
17,53.0,2.683335750866958e-12,1703.102,269.048,6.326977238059041,12.8615,BFA,Burkina Faso
18,1502.0,9.308607284292593e-12,3523.984000000001,298.003,2.4097004160285005,23.068500000000004,BGD,Bangladesh
19,207.0,2.9466036976033007e-11,18563.307,424.6880000000001,8.179084956645966,37.3215,BGR,Bulgaria
20,65.0,4.1416072876996174e-11,43290.705,151.689,4.659791961312296,21.858999999999998,BHR,Bahrain
21,11.0,2.8524012031946893e-11,27717.847,235.954,5.892165005207059,11.8365,BHS,Bahamas
22,170.0,5.114429339495518e-11,11713.895,329.635,9.292226433753967,39.0375,BIH,Bosnia and Herzegovina
23,351.0,3.7011655719054745e-11,17167.967,443.129,5.797037780284881,28.478,BLR,Belarus
24,2.0,5.220964259889158e-12,7824.361999999999,176.957,5.802941843867301,61.863297869528466,BLZ,Belize
26,820.0,7.222670164787862e-11,6885.8290000000015,204.299,6.322618722915652,36.301663439142345,BOL,Bolivia
27,51271.0,2.4476613958569294e-10,14103.452,177.96099999999996,8.783406764268875,14.038999999999998,BRA,Brazil
28,7.0,2.442079116386002e-11,16978.068,170.05,7.060834467411044,8.263,BRB,Barbados
29,3.0,6.993626475072384e-12,71809.25099999999,201.285,2.224253155291082,16.5945,BRN,Brunei
30,0.0,0.0,8708.597,217.066,3.4846045076847063,32.2841380265508,BTN,Bhutan
31,1.0,4.4363092391463476e-13,15807.374,237.372,5.8487419039010975,20.1935,BWA,Botswana
32,30.0,6.428970483953611e-12,661.24,435.727,5.221772640943526,18.379285390878465,CAF,Central African Republic
33,8436.0,2.27644597562751e-10,44017.59099999999,105.599,10.420859754085539,14.323,CAN,Canada
34,1680.0,1.9733997460657396e-10,57410.166,99.739,11.852029412984841,25.7815,CHE,Switzerland
35,4502.0,2.4037383417088646e-10,22767.037,127.993,8.211135417222978,37.8865,CHL,Chile
36,4639.0,3.3308681510414794e-12,15308.712,261.899,4.901009276509286,25.3825,CHN,China
37,54.0,2.154035132073667e-12,3601.006,303.74,4.741506129503252,31.627107168651424,CIV,Cote d'Ivoire
38,303.0,1.2016067266499756e-11,3364.926,244.661,4.617345705628396,29.579128230578945,CMR,Cameroon
39,135.0,1.6058411508356958e-12,808.133,318.949,3.870529532432556,26.211454022837344,COD,Democratic Republic of Congo
40,37.0,7.055194310538763e-12,4881.406,344.094,2.965693213045596,27.253,COG,Congo
41,2310.0,4.6526912042081276e-11,13254.949,124.24,7.229332476854322,9.144,COL,Colombia
