iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,gdp_per_capita,cvd_death_rate,diabetes_prevalence,medical_doctors,ghs_score,health_expenditure_5y_avg,GDP per capita growth (annual %),"GNI, Atlas method (current US$)",Population density (people per sq. km of land area),"Population, total",Surface area (sq. km),Proportion of seats held by women in national parliaments (%),"International tourism, expenditures (% of total imports)","International tourism, receipts (% of total exports)",imports,lockdown_date,lockdown_type,household_avg_people,smokers_percentage,wage_and_salaried_workers_percentage_employed
BHS,North America,Bahamas,2020-06-23,104.0,11.0,264.464,27717.847,235.954,13.17,20.07,30.6,5.892165005207059,0.544150188792798,11771631209.2318,38.5254745254745,385640.0,13880.0,12.8,10.4405650141285,77.246799590927,5127600000.0,20/03/2020,Full,3.4,11.8365,86.11732036590574
BIH,Europe,Bosnia and Herzegovina,2020-06-23,3524.0,170.0,1074.123,11713.895,329.635,10.08,21.62,42.8,9.292226433753967,4.48391430484476,19077996552.0445,64.92048828125,3323929.0,51210.0,21.4,3.17729110607052,12.7259930289803,11172268902.7531,11/03/2020,Full,,39.0375,78.68941661834718
BLR,Europe,Belarus,2020-06-23,59023.0,351.0,6246.269,17167.967,443.129,5.18,51.91,35.3,5.797037780284881,3.3097921066474103,54079877293.493,46.719503788420404,9483499.0,207600.0,34.5,2.80366823339873,2.88872380393586,42210058322.9754,,None,2.43,28.478,95.81748600006107
BLZ,North America,Belize,2020-06-23,23.0,2.0,57.844,7824.361999999999,176.957,17.11,11.23,31.8,5.802941843867301,1.07136952894078,1713221353.46156,16.7939938623411,383071.0,22970.0,9.4,4.43403657873265,45.20635650653689,1090322900.0,30/03/2020,Full,,,67.06780132293702
BMU,North America,Bermuda,2020-06-23,146.0,9.0,2344.515,50669.315,139.547,13.0,,,,,,1184.68516426289,63973.0,4290.0,,16.0281381701015,36.9476958882668,1649401000.0,,,2.26,,
BOL,South America,Bolivia,2020-06-23,25493.0,820.0,2183.923,6885.8290000000015,204.299,6.89,15.9,35.8,6.322618722915652,2.7521559420484,38203746852.0562,10.4801458506416,11353142.0,1098580.0,53.1,8.68694235813675,9.368913980167509,12853418089.725,12/03/2020,Full,3.53,,31.11124007225036
BRA,South America,Brazil,2020-06-23,1106470.0,51271.0,5205.462,14103.452,177.96099999999996,8.11,21.64,59.7,8.783406764268875,0.526155826049262,1902286218698.39,25.061716243087602,209469333.0,8515770.0,10.7,8.62714428399348,2.29983252453008,269601911015.338,,None,3.31,14.038999999999998,67.93170372009281
BRB,North America,Barbados,2020-06-23,97.0,7.0,337.543,16978.068,170.05,13.57,24.84,31.9,7.060834467411044,-0.640057735871636,4417327947.2144785,666.606976744186,286641.0,430.0,20.0,,,2171296150.0,28/03/2020,Full,,8.263,83.34109992980957
BRN,Asia,Brunei,2020-06-23,141.0,3.0,322.298,71809.25099999999,201.285,12.79,16.09,32.6,2.224253155291082,-0.99478850862225,12722801416.9809,81.39696394686909,428962.0,5770.0,9.1,10.2962198251364,2.6985038850586496,6810627548.95356,,None,,16.5945,91.16853706359862
BTN,Asia,Bhutan,2020-06-23,69.0,0.0,89.42299999999999,8708.597,217.066,9.75,4.24,40.3,3.4846045076847063,1.82227316600887,2239474150.18651,19.7775277714448,754394.0,38393.9990234375,8.5,6.2653099337660185,15.5411911787977,1367485007.2014,06/03/2020,Full,,,26.225734462738053
BWA,Africa,Botswana,2020-06-23,89.0,1.0,37.846,15807.374,237.372,4.81,5.27,31.1,5.8487419039010975,2.18307407293796,17468902503.5229,3.9774248760432704,2254126.0,581730.0,9.5,3.681548740744,7.8366555775719,7432125624.076091,02/04/2020,Full,3.52,20.1935,71.21556243896484
CAF,Africa,Central African Republic,2020-06-23,2963.0,30.0,613.488,661.24,435.727,6.1,0.72,27.3,5.221772640943526,2.22474284797838,2296440918.7681108,7.4904122122700585,4666377.0,622980.0,8.6,,,1054197551.84661,,None,4.91,,7.157189952135076
CAN,North America,Canada,2020-06-23,101637.0,8436.0,2692.93,44017.59099999999,105.599,7.37,23.11,75.3,10.420859754085539,0.482418663130375,1665565135891.87,4.07518823864492,37057765.0,9984670.0,27.0,5.748451006283998,3.99272696039482,578789449519.366,12/03/2020,Full,2.45,14.323,84.7878554916382
CHE,Europe,Switzerland,2020-06-23,31310.0,1680.0,3617.722,57410.166,99.739,5.59,42.96,67.0,11.852029412984841,2.00960569244847,718905345464.828,215.437463043118,8513227.0,41290.400390625,32.5,5.436047516233129,4.38504393766401,375480873839.652,18/03/2020,Full,2.24,25.7815,85.37412719726566
CHL,South America,Chile,2020-06-23,246963.0,4502.0,12919.036,22767.037,127.993,8.46,25.91,58.3,8.211135417222978,2.5876764943491297,274752205940.077,25.189446066651893,18729160.0,756700.0,22.6,3.62835496442146,4.633421786005769,80635442457.6638,26/03/2020,Full,3.57,37.8865,73.08633373260498
CHN,Asia,China,2020-06-23,84624.0,4639.0,58.794,15308.712,261.899,9.74,19.8,48.2,4.901009276509286,6.08224115521752,13181372605622.5,148.348833270666,1392730000.0,9562910.0,24.9,10.8847797754834,1.52341960462756,2476286917545.57,23/01/2020,Full,3.38,25.3825,52.712965545654285
CIV,Africa,Cote d'Ivoire,2020-06-23,7492.0,54.0,284.022,3601.006,303.74,2.42,2.31,35.5,4.741506129503252,4.72569209854963,40218176717.5251,78.8340534591195,25069229.0,322460.0,10.6,,,12984694262.4392,29/03/2020,Full,5.09,,25.560455522537197
CMR,Africa,Cameroon,2020-06-23,11892.0,303.0,447.979,3364.926,244.661,7.2,0.88,34.4,4.617345705628396,1.37919198196641,36356256723.8828,53.3439889149796,25216237.0,475440.0,31.1,10.863748398997,8.66995237929682,9301226636.81003,,None,4.99,,22.742989988327018
COD,Africa,Democratic Republic of Congo,2020-06-23,5925.0,135.0,66.156,808.133,318.949,6.1,0.74,26.5,3.870529532432556,2.39991066397216,41538869211.4581,37.0825923557045,84068091.0,2344860.0,8.9,0.646996731516002,0.376205306165348,16666815693.8015,19/03/2020,Full,5.3,,18.091924867630013
COG,Africa,Congo,2020-06-23,1087.0,37.0,196.988,4881.406,344.094,7.2,1.65,23.6,2.965693213045596,-1.5492440284501,8613989208.89088,15.3568462664715,5244363.0,342000.0,11.3,,,3765904294.67957,,None,4.31,27.253,22.640964984893795
COL,South America,Colombia,2020-06-23,71183.0,2310.0,1398.958,13254.949,124.24,7.44,21.85,44.2,7.229332476854322,1.02471485612077,306905190832.81,44.7487021180712,49648685.0,1141748.984375,18.1,8.92578599998057,12.232457450062402,71886451618.9838,25/03/2020,Full,3.53,9.144,48.93066020965576
COM,Africa,Comoros,2020-06-23,247.0,5.0,284.04,1413.89,261.516,11.88,2.72,27.2,7.5995607674121874,1.14050990405651,1145390532.21578,447.24447754022697,832322.0,1861.00006103516,6.1,12.836934747755802,50.435115974049104,351750711.97989,,,5.37,14.096,29.496595802307148
CPV,Africa,Cape Verde,2020-06-23,944.0,8.0,1697.878,6222.554,182.219,2.42,7.81,29.3,5.08890338242054,3.86593584728266,1859911111.20433,134.92977667493798,543767.0,4030.0,23.6,7.256545194715461,54.09647196779739,1295138220.9488401,,None,,9.372,59.90796714782712
CRI,North America,Costa Rica,2020-06-23,2277.0,12.0,446.986,15524.995,137.97299999999998,8.78,28.94,45.1,7.6870398223400125,1.61806178494115,57572716407.2607,97.91306306306309,4999441.0,51100.0,45.6,5.8792643364262105,19.4270741209992,19981384409.4599,15/03/2020,Full,3.46,11.954999999999998,75.2766925430298
CUB,North America,Cuba,2020-06-23,2315.0,85.0,204.386,,190.968,8.27,84.22,35.2,11.86306431889536,2.2585896849249,,108.99959623149401,11338138.0,109880.0,53.2,,,12596000000.0,,None,3.14,35.381,75.70205806732179
CUW,North America,Curacao,2020-06-23,23.0,1.0,140.158,,,11.62,,,,-1.93654693751401,,,159800.0,,,18.9290316969616,31.4946546770122,2695027932.96089,,,,,
CYM,North America,Cayman Islands,2020-06-23,195.0,1.0,2967.133,49903.029,,13.22,,,,,,267.391666666667,64174.0,260.0,,,,,,,,,
CYP,Europe,Cyprus,2020-06-23,988.0,19.0,1127.984,32415.132,141.171,9.24,19.51,43.0,6.792625486850739,2.79853064701692,24858679564.5598,128.708333333333,1189265.0,9250.0,17.9,8.61809977457805,18.9232403187276,17568118213.3662,25/03/2020,Full,2.76,36.3155,86.9344359588623
CZE,Europe,Czech Republic,2020-06-23,10561.0,336.0,986.182,32605.906000000006,227.485,6.82,41.21,52.0,7.416695058345796,2.6140406798801203,215038293241.315,137.657705257705,10629928.0,78870.0,22.0,3.44128525812406,4.328961271728431,171040783176.531,16/03/2020,Full,2.4,34.439,83.4677341461182
DEU,Europe,Germany,2020-06-23,190862.0,8895.0,2278.026,45229.245,156.139,8.31,42.49,66.0,11.071575433015822,1.2227872325513502,3905321667025.8,237.30759674834,82905782.0,357580.0,30.7,6.38584147088565,3.21061326385825,1581726804917.64,20/03/2020,Full,2.05,30.674500000000002,90.2440724563599
DJI,Africa,Djibouti,2020-06-23,4599.0,48.0,4654.849,2705.406,258.03700000000003,6.05,2.24,23.2,3.9383959025144577,3.82998551984062,3063660865.49052,41.368421052631604,958920.0,23200.0,26.2,0.5323502546798771,1.2493790129821398,4764117191.0871,,None,,13.214,51.27018440246584
DMA,North America,Dominica,2020-06-23,18.0,0.0,250.031,9673.367,227.376,11.62,11.19,24.0,5.451088473200798,2.02613137595806,508130318.140223,95.5,71625.0,750.0,25.0,6.95363495546831,68.538006850991,525825851.851852,,None,,,
DNK,Europe,Denmark,2020-06-23,12527.0,602.0,2162.735,46682.515,114.767,6.41,40.1,70.4,10.171633064746858,1.88489021571982,348630649463.169,137.976565849012,5793636.0,42920.0,37.4,5.9414777290166,4.5977543727180805,171026740124.825,11/03/2020,Full,,19.0475,92.04695602416992
DOM,North America,Dominican Republic,2020-06-23,27370.0,669.0,2523.068,14600.861,266.653,8.2,15.27,38.3,5.9653552621603,5.83455956557802,82507627531.8255,219.97857586421,10627165.0,48670.0,26.8,4.05381363470776,37.446079329625505,26048691000.4698,17/03/2020,Full,3.48,13.853,58.476405696868866
DZA,Africa,Algeria,2020-06-23,11920.0,852.0,271.829,13913.839,278.36400000000003,6.73,17.19,23.6,6.507923826575278,-0.615183264336011,,17.7300750711665,42228429.0,2381740.0,25.8,,,50103392341.2584,24/03/2020,Full,,15.6985,70.85905464172363
ECU,South America,Ecuador,2020-06-23,50640.0,4223.0,2870.25,10581.936000000003,140.44799999999998,5.55,20.37,50.1,8.46459120512009,-0.39708990280324497,104382965825.259,68.7886817522951,17084357.0,256370.0,38.0,3.9674322770849297,7.40118490055641,25086092000.0,24/03/2020,Partial,3.78,7.2015,48.725764331817615
EGY,Africa,Egypt,2020-06-23,56809.0,2278.0,555.131,10550.206,525.432,17.31,4.52,39.9,5.066630691289903,3.19443129839827,275406313177.971,98.8734692852479,98423595.0,1001450.0,14.9,3.79545671908511,24.6108510877487,73678496915.6918,24/03/2020,Full,4.13,25.3995,66.76601421356202
