iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,gdp_per_capita,cvd_death_rate,diabetes_prevalence,medical_doctors,ghs_score,health_expenditure_5y_avg,GDP per capita growth (annual %),"GNI, Atlas method (current US$)",Population density (people per sq. km of land area),"Population, total",Surface area (sq. km),Proportion of seats held by women in national parliaments (%),"International tourism, expenditures (% of total imports)","International tourism, receipts (% of total exports)",imports,lockdown_date,lockdown_type,household_avg_people,smokers_percentage,wage_and_salaried_workers_percentage_employed
IRQ,Asia,Iraq,2020-06-23,32676.0,1167.0,812.3810000000002,15663.986,218.612,8.83,7.08,25.8,3.2384713739156736,-2.84164269387304,193557631837.915,88.53057003546171,38433600.0,435051.9921875,25.5,13.8107461846825,2.16032293890942,91988381640.1015,22/03/2020,Full,7.7,,83.29189167022706
ISL,Europe,Iceland,2020-06-23,1823.0,10.0,5342.125,46482.958,117.992,5.31,40.78,46.3,8.221210539340975,1.84701469023014,24028826245.3673,3.51841396508728,352721.0,103000.0,38.1,15.9619688394254,25.5502920869965,9819545438.07745,16/03/2020,Full,,14.7545,88.00129932403564
ISR,Asia,Israel,2020-06-23,21082.0,307.0,2435.665,33132.32,93.32,6.74,46.25,47.3,7.207121849060058,1.47961747988643,363555983141.75104,410.480591497227,8882800.0,22070.0,27.5,9.10212839733564,7.42192635441192,107539192335.382,12/03/2020,Full,3.14,25.5,87.7189172744751
ITA,Europe,Italy,2020-06-23,238720.0,34657.0,3948.276,35220.084,113.151,4.78,39.77,56.2,8.93452599644661,0.966057526934264,2038376643846.06,205.418372203713,60421760.0,301340.0,35.7,6.21296820625092,7.86422694736246,571029730124.705,11/03/2020,Full,2.4,23.84,77.86083728790283
JAM,North America,Jamaica,2020-06-23,665.0,10.0,224.574,8193.571,206.537,11.28,13.06,29.0,5.569961890578271,1.45452492809596,14582302023.5711,270.993074792244,2934855.0,10990.0,17.5,6.32732336588992,53.3759013135404,8404894684.72854,12/03/2020,Full,3.45,17.0665,61.26263023376467
JEY,Europe,Jersey,2020-06-23,318.0,31.0,3146.241,,,,,,,,,,,,,,,,18/03/2020,Full,,,
JOR,Asia,Jordan,2020-06-23,1042.0,9.0,102.125,8337.49,208.257,11.75,23.24,42.1,7.487730979919433,0.129635568275077,41836914916.3244,112.14249831043,9956011.0,89320.0,15.4,6.559185693954589,41.3262661514424,22040000000.0,21/03/2020,Full,4.72,,89.61092502593996
JPN,Asia,Japan,2020-06-23,17968.0,955.0,142.066,39002.223,79.37,5.72,24.12,59.8,10.854122489690779,0.9929313224878628,5226599302149.56,347.0734584156241,126529100.0,377970.0,10.1,3.02620828511087,4.8692899961896785,906313335634.838,27/02/2020,Full,2.33,22.562500000000004,89.86929412841795
KAZ,Asia,Kazakhstan,2020-06-23,18231.0,127.0,970.937,24055.588,466.792,7.11,39.8,40.7,3.035991750657558,2.76315091083548,147572879547.561,6.76831870207801,18272430.0,2724901.875,27.1,6.16962987336707,3.94810188057602,50249498820.7624,15/03/2020,Full,3.5,25.2305,75.50295249938965
KEN,Africa,Kenya,2020-06-23,4797.0,125.0,89.211,2993.028,218.637,2.92,1.57,47.1,5.203852504491809,3.89615298102062,83062874765.6646,90.29941666373828,51393010.0,580370.0,21.8,,,20408671438.3763,15/03/2020,Full,3.64,10.895999999999999,48.12128900527953
KGZ,Asia,Kyrgyzstan,2020-06-23,3519.0,41.0,539.377,3393.474,436.362,7.11,22.13,49.3,7.058553993701935,1.46038147656107,7700206967.568541,32.965589155370196,6322800.0,199950.0,19.2,7.7287471074529694,17.8099772530336,5554671372.50802,24/03/2020,Partial,4.21,27.2845,65.67407983779904
KHM,Asia,Cambodia,2020-06-23,130.0,0.0,7.776,3645.07,270.892,4.0,1.93,39.2,6.407017484307292,5.907741250022111,22525028803.2131,92.05641287106279,16249798.0,181040.0,20.0,4.93803121314257,26.2409950521192,16921448889.8651,28/03/2020,Partial,4.61,18.0085,49.236819305419914
KNA,North America,Saint Kitts and Nevis,2020-06-23,15.0,0.0,281.997,24654.385,,12.84,26.76,26.2,4.997950494289398,2.14672480942217,961531499.003816,201.69615384615398,52441.0,260.0,13.3,9.934430179688633,60.63869418587979,620000000.0,,None,,,
KOR,Asia,South Korea,2020-06-23,12484.0,281.0,243.499,35938.374,85.99799999999998,6.8,23.61,70.2,7.074870467185974,2.18145161175325,1580109482105.75,529.358501289308,51606633.0,100339.00390625,17.0,5.35544908357113,2.72020867354208,605769302553.079,23/02/2020,Full,2.53,23.723499999999998,75.19433341979982
KWT,Asia,Kuwait,2020-06-23,40291.0,330.0,9434.587,65530.537,132.235,15.84,26.46,46.1,3.8125365972518908,-0.741360738908625,141863037582.434,232.172222222222,4137309.0,17820.0,3.1,20.992662623811,1.0786524517835798,61556291390.7285,16/03/2020,Partial,,20.0215,98.61426162719724
LAO,Asia,Laos,2020-06-23,19.0,0.0,2.611,6397.36,368.111,4.0,3.73,43.1,2.4081863090395936,4.61588222048862,17318312655.3411,30.5957842287695,7061507.0,236800.0,27.5,12.9676847934516,12.177977453573899,6619813405.803061,,None,5.77,29.4695,18.919945292472846
LBN,Asia,Lebanon,2020-06-23,1603.0,32.0,234.857,13367.565,266.591,12.71,21.04,43.1,7.824720740318298,-0.34208130231377304,54240387295.7135,669.4941348973608,6848925.0,10450.0,4.7,19.467912329036697,45.4227864911041,22386564529.8176,16/03/2020,Full,,33.869,70.63707519531249
LBR,Africa,Liberia,2020-06-23,650.0,34.0,128.517,752.788,272.509,2.42,0.38,35.1,9.098421335220332,-1.22975996453044,2919787065.30257,50.030907392026606,4818977.0,111370.0,12.3,0.618232004984871,,3031428800.0,,None,4.95,9.883000000000001,20.88701957225799
LBY,Africa,Libya,2020-06-23,571.0,10.0,83.09899999999998,17881.509,341.862,10.43,20.91,25.7,,6.36824093250934,42771026208.6955,3.795632381190541,6678567.0,1759540.0,16.0,,,27853452048.9165,,None,,,93.64716930389405
LCA,North America,Saint Lucia,2020-06-23,19.0,0.0,103.469,12951.839,204.62,11.62,6.41,35.3,5.057272762060166,0.339234187154531,1739539256.77877,298.17868852459,181889.0,620.0,16.7,8.719713187854751,81.2711569887711,,20/03/2020,Full,,,64.16056097030642
LIE,Europe,Liechtenstein,2020-06-23,83.0,1.0,2176.364,,,7.77,,43.5,,,,236.9375,37910.0,160.0,12.0,,,,20/03/2020,Partial,2.32,,
LKA,Asia,Sri Lanka,2020-06-23,1951.0,11.0,91.112,11669.077,197.093,10.68,10.04,33.9,3.80561038851738,2.1327460963848504,87896171382.1976,345.558922022006,21670000.0,65610.0,5.8,9.26581828380392,27.674977355815606,24569911488.3837,21/03/2020,Full,,13.7835,57.3071237373352
LSO,Africa,Lesotho,2020-06-23,4.0,0.0,1.867,2851.153,405.126,3.94,0.69,30.2,8.548127859830856,0.33207349060136,2921766862.53022,69.437812911726,2108132.0,30360.0,22.1,14.0247371149823,1.91458449433821,2238423028.1544,,,3.34,27.4175,82.84836185455325
LTU,Europe,Lithuania,2020-06-23,1801.0,76.0,661.575,29524.265,342.9890000000001,3.67,63.53,55.0,6.382509917020795,4.63845827413193,48634196073.5066,44.7230757742448,2801543.0,65286.0009765625,21.3,2.8191957924283906,3.22517537325499,39305041102.5882,16/03/2020,Full,2.32,29.7335,88.27675815582276
LUX,Europe,Luxembourg,2020-06-23,4121.0,110.0,6583.319,94277.965,128.275,4.42,30.09,43.8,5.531493350863456,1.14105379601197,43068735624.125,250.18518518518502,607950.0,2590.0,28.3,2.98337118191031,4.06799208765904,122843607598.227,16/03/2020,Full,2.41,23.4755,91.4952605056763
LVA,Europe,Latvia,2020-06-23,1111.0,30.0,589.014,25063.846,350.06,4.91,31.91,62.9,5.749250799417496,5.43910139407771,31803867377.5425,30.993470569314894,1927174.0,64490.0,16.0,3.68059042893868,5.01365220069174,20410154032.1411,13/03/2020,Full,2.38,38.427,88.44652633666989
MAR,Africa,Morocco,2020-06-23,10172.0,214.0,275.585,7485.013000000001,419.146,7.14,7.31,43.7,5.309188589453695,1.68827508535729,112914745257.66,80.72851893345279,36029138.0,446550.0,20.5,5.44913861570711,22.01675709421,57372531348.5547,16/03/2020,Full,5.24,24.181500000000003,45.541070423126214
MCO,Europe,Monaco,2020-06-23,101.0,5.0,2573.6420000000007,,,5.46,75.07,32.7,1.9573235139250758,5.30456543094968,,,38682.0,,33.3,,,,17/03/2020,Full,,,
MDA,Europe,Moldova,2020-06-23,14363.0,480.0,3560.519,5189.972,408.502,5.72,32.07,42.9,8.084456026554111,5.276488784940111,10553252005.5264,123.51980353224,2706049.0,33850.0,22.8,6.860987218389488,14.486287280460301,6605176771.84397,11/03/2020,Full,2.89,25.4435,62.0329388999939
MDG,Africa,Madagascar,2020-06-23,1640.0,15.0,59.225,1416.44,405.994,3.94,1.81,40.1,5.330600440502166,1.81024820355464,13267179655.2599,45.1398556204881,26262368.0,587295.0,19.2,6.38436038582579,20.2238771323715,4698046664.22852,17/03/2020,Partial,4.95,,10.93424992084504
MDV,Asia,Maldives,2020-06-23,2217.0,8.0,4101.439,15183.616000000002,164.905,9.19,45.63,33.8,8.79278108477593,2.88973083684236,4786256984.46698,1718.9866666666699,515696.0,300.0,5.9,10.567193945527901,82.6938366672004,3978474372.4030704,11/03/2020,Full,5.4,28.8145,72.02737018585205
MEX,North America,Mexico,2020-06-23,185122.0,22584.0,1435.803,17336.468999999994,152.783,13.06,23.83,57.6,5.700176879763606,0.991932458168463,1159048814145.26,64.9146264050001,126190788.0,1964375.0,48.2,2.8003696126079203,4.96060248874723,492176132550.51,14/03/2020,Partial,3.74,14.222499999999998,68.31931606292726
MKD,Europe,Macedonia,2020-06-23,5196.0,247.0,2494.024,13111.214,322.688,10.08,28.74,39.1,6.358608901500701,2.61717694488996,11360186689.5629,82.59151467089609,2082958.0,25710.0,38.3,3.05771361935185,5.09094756953213,9595356997.262829,18/03/2020,Full,,,77.061385383606
MLI,Africa,Mali,2020-06-23,1961.0,111.0,96.836,2014.306,268.024,2.42,1.29,29.0,4.026185348629951,1.7916766567807498,15994137157.1486,15.635015858186,19077690.0,1240190.0,8.8,,,5983745596.42266,18/03/2020,Full,5.81,12.407,17.55259549617768
MLT,Europe,Malta,2020-06-23,665.0,9.0,1506.096,36513.323,168.71099999999996,8.83,28.6,37.3,9.188717007637024,3.10823263897765,12804453189.0998,1514.46875,484630.0,320.0,11.9,2.87379449240067,8.72130805224491,17804254200.1415,12/03/2020,Full,2.67,25.5965,86.66201599121098
MMR,Asia,Myanmar,2020-06-23,291.0,6.0,5.348,5591.597,202.104,4.61,6.77,43.4,4.364199638366702,5.555804237504018,70246183910.3074,82.23861548355491,53708395.0,676590.0,10.2,0.6254478441665079,10.593297149898303,23078337307.5519,,,4.22,20.894500000000004,37.38072525024417
MNE,Europe,Montenegro,2020-06-23,367.0,9.0,584.337,16409.288,387.305,10.08,27.56,43.7,,5.10251578114111,5248475092.21356,46.262230483271395,622227.0,13810.0,23.5,1.99151112504161,52.1678725110468,3592248096.73086,24/03/2020,Full,3.21,45.9695,78.95090515136715
MNG,Asia,Mongolia,2020-06-23,215.0,0.0,65.583,11840.846,460.043,4.82,28.59,49.5,4.184305146336556,5.31725254619168,11597426934.3095,2.0406086665465097,3170208.0,1564120.0,17.1,9.695972286836133,6.81877429502399,8923940134.739408,10/03/2020,Full,4.32,26.205000000000002,50.446646175384515
MNP,Oceania,Northern Mariana Islands,2020-06-23,30.0,2.0,521.222,,194.99400000000003,,,,,-20.0601037855457,,123.65652173913,56882.0,460.0,,,,726000000.0,,,,,
MOZ,Africa,Mozambique,2020-06-23,737.0,5.0,23.58,1136.103,329.94199999999995,3.3,0.84,28.1,5.349588319659231,0.458309215545086,13588598915.5351,37.508535313716,29495962.0,786380.0,39.6,1.28352669775177,5.539972557010679,11069764611.3153,,None,4.37,17.22,14.787744674682626
MRT,Africa,Mauritania,2020-06-23,2984.0,111.0,641.7669999999998,3597.633,232.347,2.42,1.87,27.5,4.250883311033247,0.7146787423193639,5129074595.79785,4.27216357815077,4403319.0,1030700.0,20.3,1.1571481639661398,0.29100892908535303,3977162165.9925604,,None,,,40.85943535804749
MSR,North America,Montserrat,2020-06-23,11.0,1.0,2200.44,,,,,,,,,,,,,,,,,,,,
MUS,Africa,Mauritius,2020-06-23,340.0,10.0,267.345,20292.745,224.644,22.02,25.33,34.9,5.4604995250701895,3.71722856647342,15244401131.0815,623.30197044335,1265303.0,2040.0,11.6,9.55711083856597,38.928195243130496,7605564717.3242,17/03/2020,Partial,3.48,22.137500000000003,80.5335180282593
MWI,Africa,Malawi,2020-06-23,803.0,11.0,41.976000000000006,1095.042,227.349,3.94,0.36,28.0,9.993272721767434,0.8014196964556821,6506600289.884279,192.440761561307,18143315.0,118480.0,16.7,4.62032197696521,3.8447061764811097,2729078033.2000604,,,4.51,14.651499999999999,39.37887130737304
MYS,Asia,Malaysia,2020-06-23,8587.0,121.0,265.309,26808.164,260.942,16.74,15.36,62.2,3.779720440506933,3.3345011012496,333842531884.843,95.9628214883579,31528585.0,330345.0,13.9,5.98545872369598,8.834374762172901,210615660624.149,18/03/2020,Full,4.56,21.907,74.49438842773438
NAM,Africa,Namibia,2020-06-23,63.0,0.0,24.794,9541.808,243.811,3.94,4.18,35.6,8.982652127742769,-2.4008197720197,12783643142.3496,2.9737455817512704,2448255.0,824290.0,46.2,1.08868818751433,9.86220434169235,5894573059.9928,14/03/2020,Full,4.24,22.0725,62.51255155563355
NCL,Oceania,New Caledonia,2020-06-23,21.0,0.0,73.557,,,23.36,,,,,,15.5393873085339,284060.0,18580.0,,,,,,,,,83.29721382141116
NER,Africa,Niger,2020-06-23,1046.0,67.0,43.21100000000001,926.0,238.33900000000003,2.42,0.43,32.2,6.567399203777312,2.4953347016976,8682726194.770159,17.717650588142398,22442948.0,1267000.0,17.0,,,3616976197.531,,None,5.92,7.8265,5.18382493495941
NGA,Africa,Nigeria,2020-06-23,20919.0,525.0,101.48,5338.4540000000015,181.013,2.42,3.81,37.8,3.550864383578302,-0.6655790801877121,384802857431.966,215.06498896538105,195874740.0,923770.0,5.6,18.451265655985697,2.91129132161068,69721646471.4198,25/03/2020,Full,4.9,5.751,18.00338520050048
NIC,North America,Nicaragua,2020-06-23,2014.0,64.0,304.02,5321.444,137.016,11.47,9.78,43.1,8.194318562746044,-5.14914016579304,13068790473.1023,53.7270483629716,6465513.0,130370.0,45.7,5.1855814091706,9.87027125102059,6256532726.27915,,None,4.92,,53.40499893188479
NLD,Europe,Netherlands,2020-06-23,49658.0,6090.0,2898.066,48472.545,109.361,5.29,36.05,75.6,10.375210493803044,2.00009858507431,883236056903.029,511.47592757494795,17231624.0,41540.0,36.0,3.85310378322941,3.3526695560413504,652699537670.587,16/03/2020,Full,2.23,25.8645,83.52907024383543
NOR,Europe,Norway,2020-06-23,8745.0,248.0,1613.099,64800.057,114.316,5.31,29.16,64.6,9.863836616277686,0.6231470137170451,428375207614.415,14.5482916341657,5311916.0,625217.109375,41.4,13.175788618555801,4.26622331607864,141960454545.455,12/03/2020,Full,2.22,20.1555,93.64260200500487
NPL,Asia,Nepal,2020-06-23,9026.0,23.0,309.78,2442.804,260.797,7.26,7.49,35.1,5.8287112414836875,4.90794694128547,27201708172.7506,195.939107080572,28087871.0,147180.0,32.7,6.26698468458562,27.782884671518396,14173973922.8676,24/03/2020,Full,4.24,23.7915,21.69831933975223
NZL,Oceania,New Zealand,2020-06-23,1165.0,22.0,241.58900000000003,36085.843,128.797,8.08,35.9,54.0,9.316181838512422,1.7736463724658895,198566287203.762,18.3851733697923,4841000.0,267710.0,38.3,8.023966068493849,19.084131933229106,58136319343.1395,25/03/2020,Full,2.67,16.012,81.95118534088135
OMN,Asia,Oman,2020-06-23,31076.0,137.0,6085.432,37960.709,266.342,12.61,20.03,43.1,3.7600989639759055,-1.68210182403824,73109396536.3372,15.6041453957997,4829483.0,309500.0,1.2,9.094428810836801,6.44138448487136,32736280884.2653,29/03/2020,Partial,8.02,8.1255,95.9126304244995
OWID_KOS,Europe,Kosovo,2020-06-23,2169.0,37.0,1122.221,9795.834,,,,,,,,,,,,,,,25/03/2020,Partial,,,
PAK,Asia,Pakistan,2020-06-23,185034.0,3695.0,837.666,5034.708,423.031,8.35,9.8,35.5,2.7531329914927483,3.6767121099591695,337059830287.149,275.28931870070596,212215030.0,796100.0,20.6,4.23688702829611,2.65801112530378,56532439052.4472,26/03/2020,Full,6.8,19.9195,37.59752525329592
PAN,North America,Panama,2020-06-23,26752.0,521.0,6200.102,22267.037,128.346,8.33,15.69,43.7,6.98603093624115,1.93696407326647,60023543303.6692,56.1860774818402,4176873.0,75420.0,18.3,4.5221779077851,19.6745244988913,30511700000.0,25/03/2020,Full,3.67,6.1875,62.91655584335328
PER,South America,Peru,2020-06-23,254936.0,8045.0,7731.93,12236.706,85.755,5.95,13.05,49.2,4.956688657402991,2.20561703131051,207101732427.075,24.99160625,31989256.0,1285220.0,27.7,6.64082116705214,8.720746945012719,52031582416.9239,10/03/2020,Full,3.75,,44.90340065002442
PHL,Asia,Philippines,2020-06-23,30682.0,1177.0,279.994,7599.188,370.437,7.07,6.0,47.6,4.353193342685702,4.77073894578564,408840418468.117,357.688305329175,106651922.0,300000.0,29.5,9.614105961599439,10.7653942890797,151723946881.072,16/03/2020,Partial,4.23,24.465,62.883176174163815
PNG,Oceania,Papua New Guinea,2020-06-23,9.0,0.0,1.006,3823.194,561.494,17.65,0.7,27.8,2.6432360336184497,-2.76011441200268,22111662448.2579,19.004363379410893,8606316.0,462840.0,0.0,,,,,None,5.43,36.2765,20.27303525924681
POL,Europe,Poland,2020-06-23,32227.0,1359.0,851.5160000000002,27216.445,227.331,5.91,23.79,55.4,6.442192643880844,5.148228919437201,535535085143.501,124.023482151605,37974750.0,312680.0,28.0,3.4739665375282,4.84104001819847,298996978694.588,12/03/2020,Full,2.82,28.249000000000002,80.09866104125976
PRI,North America,Puerto Rico,2020-06-23,6564.0,149.0,2294.431,35044.67,108.094,12.9,,,,-1.04108061898415,67412091451.5787,360.220180383315,3195153.0,8870.0,,,,46462500000.0,,,2.67,,84.17878524780275
PRT,Europe,Portugal,2020-06-23,39392.0,1534.0,3863.208,27936.896,127.842,9.85,51.24,60.3,9.018246978521349,2.60541088250956,226063382260.544,112.26194121729999,10283822.0,92225.595703125,34.8,6.2770481683130015,22.809757061485897,104090392265.945,18/03/2020,Full,2.58,23.2185,83.40238552093508
PRY,South America,Paraguay,2020-06-23,1392.0,13.0,195.162,8827.01,199.128,8.27,13.54,35.7,6.569114774465557,2.34999034373892,39417705919.7151,17.5083589227284,6956071.0,406751.9921875,15.0,3.95577302466936,2.73715829008388,13154087803.2047,15/03/2020,Partial,4.63,13.383000000000001,56.808645305633526
PSE,Asia,Palestine,2020-06-23,1196.0,5.0,234.445,4449.898,265.91,10.59,,,,-1.61856449743397,16971424264.6216,758.984551495017,4569087.0,6020.0,,8.64734863783412,8.43813641509338,8730900000.0,05/03/2020,Full,5.89,,72.03704296112058
PYF,Oceania,French Polynesia,2020-06-23,60.0,0.0,213.596,,,22.63,,,,,,75.8685792349727,277679.0,4000.0,,,,,,,,,83.71976474761964
QAT,Asia,Qatar,2020-06-23,88403.0,99.0,30684.193,116935.6,176.69,16.52,24.85,41.2,2.654688954353332,-0.5846691334430429,170097430243.3,239.59319552110298,2781677.0,11610.0,9.8,17.860239113011,14.8584760608804,66769780219.7802,11/03/2020,Full,,13.980500000000001,99.58886688232423
ROU,Europe,Romania,2020-06-23,24291.0,1523.0,1262.678,23313.199,370.946,9.74,29.81,45.8,5.063401088118554,4.6018268332256,219905931423.429,84.60598487482609,19466145.0,238400.0,20.7,4.68378784248232,3.2253423828987,110555746950.14,25/03/2020,Full,2.67,30.071,74.92040302276607
RUS,Europe,Russia,2020-06-23,592280.0,8206.0,4058.534,24765.954,431.297,6.18,37.49,44.3,5.2364442497491845,2.26174479438679,1501658920484.16,8.82207955488442,144478050.0,17098250.0,15.8,11.295195961647902,3.6762050568671696,352911827266.029,27/03/2020,Full,2.58,41.024499999999996,93.1977401733399
RWA,Africa,Rwanda,2020-06-23,787.0,2.0,60.762,1854.211,191.375,4.28,1.34,34.2,6.702383309602737,5.772764955423138,9646119798.09079,498.659870287799,12301939.0,26340.0,61.3,11.993097895119199,25.849287063411303,3506060980.6968303,16/03/2020,Full,4.26,12.9315,32.088001136779745
SAU,Asia,Saudi Arabia,2020-06-23,161005.0,1307.0,4624.738,49045.41099999999,259.538,17.72,26.12,49.3,5.351573154330252,0.607923521071328,727799865031.351,15.6766543082956,33699947.0,2149690.0,19.9,8.56023595709856,5.4053725409928095,207220564148.99695,15/03/2020,Full,,13.718,96.60688888549805
SDN,Africa,Sudan,2020-06-23,8698.0,533.0,198.361,4466.507000000001,431.388,15.67,2.62,26.2,6.513861492276191,-4.62984322829847,65214050620.6498,,41801533.0,,30.5,0.15781844189836802,20.8779243729127,2663856701.08889,,None,5.59,,40.89716939926145
SEN,Africa,Senegal,2020-06-23,5970.0,86.0,356.547,2470.58,241.219,2.42,0.69,37.9,4.312078282237052,3.83706200836902,22388448961.1614,82.3474783150678,15854360.0,196710.0,41.8,,,8892185897.85821,24/03/2020,Partial,8.66,8.581000000000001,33.135565490722655
SGP,Asia,Singapore,2020-06-23,42313.0,26.0,7232.566999999999,85535.383,92.243,10.99,22.94,58.7,4.1346968710422525,2.656150007562029,331373275388.734,7952.9984184018,5638676.0,719.0000152587891,23.0,4.550200571206151,3.07876287879111,541838806626.594,26/03/2020,Partial,3.29,16.8655,86.62655399322509
SLE,Africa,Sierra Leone,2020-06-23,1340.0,55.0,167.983,1390.3,325.721,2.42,0.25,38.2,16.3310869038105,1.25932772139537,3739206570.46938,105.987170961485,7650154.0,72300.0,12.3,3.77996675695004,5.16251193191442,1602530536.05603,,None,5.9,25.2125,11.239890308380149
SLV,North America,El Salvador,2020-06-23,4808.0,107.0,741.2660000000002,7292.458,167.295,8.87,15.66,44.2,7.594985663890839,2.01797814423728,24510577375.7738,309.88146718146703,6420744.0,21040.0,31.0,3.87690476314776,18.224925487708894,12872830000.0,11/03/2020,Full,4.07,10.7315,60.224754848480245
SMR,Europe,San Marino,2020-06-23,713.0,42.0,21008.899,56861.47,,5.64,61.09,31.1,7.368963062763214,,,563.083333333333,33785.0,60.0,26.7,,,1528630707.49794,09/03/2020,Full,,,
SOM,Africa,Somalia,2020-06-23,2812.0,90.0,176.93099999999995,,365.769,6.05,0.23,16.6,,,,23.923476902477105,15008154.0,637660.0,24.4,,,,19/03/2020,Full,,,9.477615239620189
SRB,Europe,Serbia,2020-06-23,12990.0,262.0,1909.004,14048.881,439.415,10.08,31.13,52.3,8.891468495130539,4.96414718023301,44641964405.7233,79.8376857992225,6982604.0,88360.0,34.4,6.16852555527403,7.6941704983767,31203980822.73,15/03/2020,Full,2.88,38.962500000000006,72.1753754425049
SSD,Africa,South Sudan,2020-06-23,1892.0,34.0,169.023,1569.888,280.775,10.43,,21.7,,,,,10975920.0,,28.5,14.3628279932358,0.387776007652113,3467364408.1904397,,,5.95,,11.424595069885275
STP,Africa,Sao Tome and Principe,2020-06-23,702.0,12.0,3203.125,3052.7140000000004,270.113,2.42,0.53,17.7,6.501499563455582,0.74150891054461,398917748.232659,219.820833333333,211028.0,960.0,18.2,8.92802364678821,73.19355970951808,,,,3.84,,48.2326686859131
SUR,South America,Suriname,2020-06-23,319.0,8.0,543.78,13767.119,258.314,12.54,12.1,36.5,5.674896091222763,0.92786588679337,3000246883.44837,3.69225,575991.0,163820.0,25.5,4.93243932748648,3.2084253330086,1678079696.94762,,None,3.94,25.3275,86.56358489990237
SVK,Europe,Slovakia,2020-06-23,1588.0,28.0,290.862,30155.152,287.959,7.29,34.16,47.9,7.0240336656570435,3.88970762164871,99471783267.9989,113.28558652246299,5446771.0,49030.0,20.0,2.80815871532977,3.27237655592596,97101514020.7136,09/03/2020,Full,2.8,30.473000000000003,85.58132419586181
SVN,Europe,Slovenia,2020-06-23,1521.0,109.0,731.6260000000002,31400.84,153.493,7.25,30.86,67.2,8.493027538061144,3.7413850299764095,50818622425.2578,102.96366052404,2073894.0,20675.0,24.4,4.21483334690866,7.32150137778033,40467419584.9278,11/03/2020,Full,2.47,22.5745,85.01629615783689
SWE,Europe,Sweden,2020-06-23,58932.0,5122.0,5835.273,46949.283,133.982,4.79,39.84,72.1,11.04345306754112,1.04461468244648,565106540174.312,24.981498121823698,10175214.0,447430.0,46.1,7.42430835750222,5.91079200526395,230782133492.464,,None,,18.8505,90.5395329284668
SWZ,Africa,Swaziland,2020-06-23,643.0,6.0,554.232,7738.975,333.436,3.94,3.29,31.1,7.1448290348053005,1.32064533880811,4459563360.10043,66.05761627906979,1136191.0,17360.0,7.2,2.08039961827122,0.8634572163239258,2068525304.17117,,None,4.74,9.174,64.75733242034914
SXM,North America,Sint Maarten (Dutch part),2020-06-23,77.0,15.0,1795.625,36327.232,,,,,,,,,40654.0,,,8.51334640872217,57.798506947798394,,,,2.58,,
SYC,Africa,Seychelles,2020-06-23,11.0,0.0,111.857,26382.287,242.648,10.55,21.21,31.9,4.803862646222114,2.64314769997245,1509179623.27506,210.35217391304298,96762.0,460.0,21.2,5.49025352034366,36.40423070761621,1466993535.78531,,None,3.78,21.543,
SYR,Asia,Syria,2020-06-23,219.0,7.0,12.514,,376.264,,12.87,19.9,,,,92.0671077710614,16906283.0,185180.0,13.2,,,15286438384.0609,14/03/2020,Full,,,71.43116287231442
TCA,North America,Turks and Caicos Islands,2020-06-23,14.0,1.0,361.589,,,,,,,3.74471268028005,1007020879.68285,39.64736842105261,37665.0,950.0,,0.7717488281836221,95.18352166661472,,,,,,
TCD,Africa,Chad,2020-06-23,858.0,74.0,52.235,1768.1529999999998,280.995,6.1,0.43,28.8,4.461597949266435,-0.415664166030837,10439631781.5373,12.2917336404066,15477751.0,1284000.0,15.3,,,4280250584.1330795,,None,5.78,,6.325890169143682
TGO,Africa,Togo,2020-06-23,569.0,13.0,68.73,1429.813,280.033,6.15,0.77,32.5,6.336215957999233,2.3752725065104,5186946777.21846,145.04677330391598,7889094.0,56790.0,17.6,,,2271435422.78605,20/03/2020,Partial,4.55,7.616499999999999,17.178655238151517
THA,Asia,Thailand,2020-06-23,3151.0,58.0,45.143,16277.671,109.861,7.04,8.05,73.2,3.662969022989272,3.8012698096660698,458654995738.984,135.897206835131,69428524.0,513120.0,5.3,5.17345477997521,19.8556368013451,274861019853.386,22/03/2020,Full,3.69,20.534499999999998,48.52423070907594
TJK,Asia,Tajikistan,2020-06-23,5513.0,52.0,578.025,2896.913,427.698,7.11,21.03,32.3,6.867642551660537,4.6994643407949805,9202464384.49077,65.57271417249079,9100837.0,141380.0,19.0,0.7512239138049219,15.3100709612741,2929108623.6944,,,5.99,,55.993155727386494
TLS,Asia,Timor,2020-06-23,24.0,0.0,18.203,6570.102,335.346,6.86,,26.0,3.0946988984942445,-2.7135195671459704,2296624623.59089,85.270477471419,1267972.0,14870.0,33.8,12.361705360927598,64.0015153353887,945341851.253041,,None,5.27,42.559,30.119301156997658
TTO,North America,Trinidad and Tobago,2020-06-23,123.0,8.0,87.889,28763.071,228.467,10.97,41.68,36.6,6.031748205423354,-0.660494390281343,22171395213.221,270.927485380117,1389858.0,5130.0,31.0,1.6228151775821498,4.77367392770904,,13/03/2020,Full,3.29,,77.47926197051999
TUN,Africa,Tunisia,2020-06-23,1159.0,50.0,98.066,10849.297,318.991,8.52,13.03,33.7,6.980008780956267,1.31525212464101,40452512429.6335,74.44132337796091,11565204.0,163610.0,31.3,3.87008547532526,11.9476441556252,23551458560.5234,20/03/2020,Full,,33.7735,76.0398606491089
