iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,handwashing_facilities,medical_doctors,ghs_score,health_expenditure_5y_avg,GDP growth (annual %),GDP per capita growth (annual %),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)",Population density (people per sq. km of land area),"Population, total",Surface area (sq. km),Proportion of seats held by women in national parliaments (%),"International tourism, expenditures (% of total imports)","International tourism, expenditures (current US$)","International tourism, number of arrivals","International tourism, receipts (% of total exports)","International tourism, receipts (current US$)",imports,lockdown_date,lockdown_type,di_score,di_electoral_process_and_pluralism,di_functioning_of_government,di_political_participation,di_political_culture,di_civil_liberties,di_regime_type,household_avg_people,household_members_1,household_members_2_3,household_members_4_5,household_members_6_or_more,smokers_percentage,life_expectancy_at_birth,wage_and_salaried_workers_percentage_employed,mortality_rate_per_1000
AUS,Oceania,Australia,2020-06-23,7474.0,102.0,293.099,10.129,44648.71,0.5,107.791,5.07,,36.78,75.5,9.102673083543776,2.94033358170461,1.3711444953559595,53250.0,49440.0,1330436971362.72,1235210799693.42,3.24787091037205,24982688.0,7741220.0,28.7,13.6525023236232,42351000000.0,9246000.0,14.4597046066668,47327000000.0,300194535831.784,24/03/2020,Full,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,2.5,24.34,49.95,22.44,3.27,14.767499999999998,82.779,83.79563652038573,
AUT,Europe,Austria,2020-06-23,17320.0,690.0,1923.077,13.748,45436.686,0.7,145.183,6.35,,51.7,58.5,10.367483645677561,2.41976363780752,1.92211865205813,49350.0,56720.0,436266719832.367,501391213443.661,107.127966860564,8840521.0,83879.00390625,34.4,6.0114230086145914,14256000000.0,30816000.0,10.0119483521856,25411000000.0,232097459615.294,16/03/2020,Full,8.29,9.58,7.86,8.33,6.88,8.82,Full democracy,2.27,36.34,44.52,17.06,2.08,29.6625,81.67699999999999,88.1387781906128,
AZE,Asia,Azerbaijan,2020-06-23,13207.0,161.0,1302.571,3.871,15847.419,,559.812,7.11,83.241,34.46,34.2,6.110159382224082,1.41287352692132,0.5378178996669191,4050.0,13780.0,40259865257.7429,136981821074.384,120.234667956937,9939800.0,86600.0,16.8,13.8546875412132,2453000000.0,2633000.0,11.104800950759303,2830000000.0,17712411764.7059,02/03/2020,Full,2.75,0.5,3.21,2.78,3.75,3.53,Authoritarian,4.55,6.77,20.86,44.69,27.68,21.610999999999997,72.815545,31.69112909317017,119.58812999999999
BDI,Africa,Burundi,2020-06-23,144.0,1.0,12.11,1.504,702.225,71.7,293.068,6.05,6.144,1.0,22.8,7.324026525020602,1.6099330823452198,-1.55740735383216,280.0,780.0,3136470012.17088,8735142928.3698,435.17827102803705,11175378.0,27830.0,36.4,2.54060975902162,23000000.0,,1.3679147957593605,3900000.0,985821794.293151,,,2.15,0.0,0.07,3.33,5.0,2.35,Authoritarian,4.83,6.04,25.17,31.72,37.07,,61.21502000000001,5.468555015325542,282.18058
BEL,Europe,Belgium,2020-06-23,60550.0,9696.0,5224.504,12.849,42658.576,0.2,114.898,4.29,,30.71,61.0,10.34148216247558,1.45840535284985,0.9428452679370452,45870.0,52590.0,524407874219.178,601270822533.0961,377.58441215323603,11433256.0,30530.0,38.0,4.637166279472161,20830000000.0,9119000.0,2.31501757164638,10381000000.0,431968942359.215,17/03/2020,Full,7.64,9.58,8.21,5.0,6.88,8.53,Flawed democracy,2.32,34.05,46.5,17.26,2.19,28.2815,81.6275,86.1630702209473,64.908585
BEN,Africa,Benin,2020-06-23,807.0,13.0,66.567,1.942,2064.236,49.6,235.848,0.99,11.035,0.79,28.8,3.8236450403928735,6.69725946087986,3.818777310836,1200.0,3200.0,13735899664.4805,36807560719.8431,101.853919829727,11485048.0,114760.0,7.2,,,295000.0,,,4900152309.4410715,,None,5.09,4.67,5.71,4.44,5.63,5.0,Hybrid regime,5.19,9.78,23.56,29.1,37.56,6.5085,61.443055,10.765610353946686,235.065695
BES,North America,Bonaire Sint Eustatius and Saba,2020-06-23,7.0,0.0,266.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Africa,Burkina Faso,2020-06-23,907.0,53.0,43.39,1.358,1703.102,43.7,269.048,2.42,11.877,0.85,30.1,6.326977238059041,6.83238810300897,3.81291202224394,670.0,1890.0,13256859813.9411,37372210558.3988,72.1912828947368,19751535.0,274220.0,11.0,,,144000.0,,,5109802104.75653,21/03/2020,Full,4.04,3.92,2.71,4.44,5.0,4.12,Hybrid regime,5.92,6.64,19.51,27.4,46.46,12.8615,61.10449,12.409960446357738,244.430595
BGD,Asia,Bangladesh,2020-06-23,115786.0,1502.0,703.057,3.262,3523.984000000001,14.8,298.003,8.38,34.808,5.81,35.0,2.4097004160285005,7.86370889257542,6.73701752220683,1750.0,4760.0,282036256832.374,767585094798.94,1239.57931166936,161356039.0,147630.0,20.3,1.84356842877916,1208000000.0,,0.8082625792002891,357000000.0,64859332297.6434,19/03/2020,Full,5.88,7.83,6.07,6.11,4.38,5.0,Hybrid regime,4.47,1.74,29.71,45.59,22.96,23.068500000000004,72.44573,37.61692529678345,133.14253
BGR,Europe,Bulgaria,2020-06-23,3984.0,207.0,573.366,13.272,18563.307,1.5,424.6880000000001,5.81,,40.33,45.6,8.179084956645966,3.08115723374425,3.82817987786268,8860.0,22650.0,62262010776.1635,159112124919.56,64.7110998526161,7025037.0,111000.0,23.8,5.41494713377715,2247000000.0,9273000.0,11.672969963045599,5072000000.0,40857638809.3875,13/03/2020,Full,7.03,9.17,6.43,7.22,4.38,7.94,Flawed democracy,2.34,30.53,50.97,16.62,1.89,37.3215,74.91550000000001,88.52555084228516,
BHR,Asia,Bahrain,2020-06-23,22407.0,65.0,13168.326,1.3869999999999998,43290.705,,151.689,16.52,,9.26,39.4,4.659791961312296,1.77672835806486,-3.11062510562859,21890.0,44700.0,34361641288.613,70147180715.3774,2017.27369979138,1569439.0,778.000030517578,7.5,14.7975308883519,4023000000.0,12045000.0,12.7386670908223,3834000000.0,27048670212.766003,25/02/2020,Full,2.55,0.83,2.71,2.78,4.38,2.06,Authoritarian,,,,,,21.858999999999998,77.288635,97.10143283843993,64.22428000000001
BHS,North America,Bahamas,2020-06-23,104.0,11.0,264.464,5.2,27717.847,,235.954,13.17,,20.07,30.6,5.892165005207059,1.56575993568239,0.544150188792798,30520.0,34370.0,11771631209.2318,13253841887.3161,38.5254745254745,385640.0,13880.0,12.8,10.4405650141285,536000000.0,1633000.0,77.246799590927,3383000000.0,5127600000.0,20/03/2020,Full,,,,,,,,3.4,17.73,40.33,29.15,12.79,11.8365,73.68294,86.11732036590574,155.60407
BIH,Europe,Bosnia and Herzegovina,2020-06-23,3524.0,170.0,1074.123,10.711,11713.895,0.2,329.635,10.08,97.164,21.62,42.8,9.292226433753967,3.62354616011993,4.48391430484476,5740.0,14920.0,19077996552.0445,49589065144.2415,64.92048828125,3323929.0,51210.0,21.4,3.17729110607052,366000000.0,1053000.0,12.7259930289803,1081000000.0,11172268902.7531,11/03/2020,Full,4.86,6.17,2.93,5.56,3.75,5.88,Hybrid regime,,,,,,39.0375,77.21115999999999,78.68941661834718,87.804015
BLR,Europe,Belarus,2020-06-23,59023.0,351.0,6246.269,9.788,17167.967,,443.129,5.18,,51.91,35.3,5.797037780284881,3.14919759374963,3.3097921066474103,5700.0,18650.0,54079877293.493,176904789752.775,46.719503788420404,9483499.0,207600.0,34.5,2.80366823339873,1159000000.0,11501600.0,2.88872380393586,1221000000.0,42210058322.9754,,None,2.48,0.92,2.0,2.78,4.38,2.35,Authoritarian,2.43,29.65,49.99,18.26,2.09,28.478,74.24900000000001,95.81748600006107,
BLZ,North America,Belize,2020-06-23,23.0,2.0,57.844,2.279,7824.361999999999,,176.957,17.11,90.083,11.23,31.8,5.802941843867301,3.03540365708952,1.07136952894078,4470.0,6650.0,1713221353.46156,2546778953.1995397,16.7939938623411,383071.0,22970.0,9.4,4.43403657873265,50000000.0,489000.0,45.20635650653689,487000000.0,1090322900.0,30/03/2020,Full,,,,,,,,,,,,,,74.59206499999999,67.06780132293702,166.22186
BMU,North America,Bermuda,2020-06-23,146.0,9.0,2344.515,,50669.315,,139.547,13.0,,,,,,,,,,,1184.68516426289,63973.0,4290.0,,16.0281381701015,340000000.0,282000.0,36.9476958882668,583000000.0,1649401000.0,,,,,,,,,,2.26,34.09,48.39,15.81,1.7,,81.70675,,
BOL,South America,Bolivia,2020-06-23,25493.0,820.0,2183.923,4.393,6885.8290000000015,7.1,204.299,6.89,25.383000000000006,15.9,35.8,6.322618722915652,4.22362493214148,2.7521559420484,3370.0,8640.0,38203746852.0562,98123531985.4687,10.4801458506416,11353142.0,1098580.0,53.1,8.68694235813675,1081000000.0,1142000.0,9.368913980167509,970000000.0,12853418089.725,12/03/2020,Full,4.84,4.75,3.93,5.0,3.75,6.76,Hybrid regime,3.53,20.34,34.82,27.64,17.2,,71.292625,31.11124007225036,179.15889499999997
BRA,South America,Brazil,2020-06-23,1106470.0,51271.0,5205.462,5.06,14103.452,3.4,177.96099999999996,8.11,,21.64,59.7,8.783406764268875,1.31722399870793,0.526155826049262,9080.0,14530.0,1902286218698.39,3043389014136.97,25.061716243087602,209469333.0,8515770.0,10.7,8.62714428399348,22229000000.0,6621000.0,2.29983252453008,6324000000.0,269601911015.338,,None,6.86,9.58,5.36,6.11,5.0,8.24,Flawed democracy,3.31,12.0,47.27,31.91,8.82,14.038999999999998,75.65630999999999,67.93170372009281,140.460035
BRB,North America,Barbados,2020-06-23,97.0,7.0,337.543,9.473,16978.068,,170.05,13.57,88.469,24.84,31.9,7.060834467411044,-0.49842886553256,-0.640057735871636,15410.0,14140.0,4417327947.2144785,4052250190.62518,666.606976744186,286641.0,430.0,20.0,,,680000.0,,1125000000.0,2171296150.0,28/03/2020,Full,,,,,,,,,,,,,8.263,79.02345,83.34109992980957,110.92295999999999
BRN,Asia,Brunei,2020-06-23,141.0,3.0,322.298,2.382,71809.25099999999,,201.285,12.79,,16.09,32.6,2.224253155291082,0.0522377907767719,-0.99478850862225,29660.0,62820.0,12722801416.9809,26948802801.1531,81.39696394686909,428962.0,5770.0,9.1,10.2962198251364,585000000.0,278000.0,2.6985038850586496,190000000.0,6810627548.95356,,None,,,,,,,,,,,,,16.5945,75.76466500000001,91.16853706359862,121.48558
BTN,Asia,Bhutan,2020-06-23,69.0,0.0,89.42299999999999,2.977,8708.597,1.5,217.066,9.75,79.807,4.24,40.3,3.4846045076847063,3.02764059455085,1.82227316600887,2970.0,10580.0,2239474150.18651,7978402264.416471,19.7775277714448,754394.0,38393.9990234375,8.5,6.2653099337660185,79000000.0,274000.0,15.5411911787977,121000000.0,1367485007.2014,06/03/2020,Full,5.3,8.75,6.79,2.78,4.38,3.82,Hybrid regime,,,,,,,71.466035,26.225734462738053,196.013295
BWA,Africa,Botswana,2020-06-23,89.0,1.0,37.846,2.242,15807.374,,237.372,4.81,,5.27,31.1,5.8487419039010975,4.45358456639946,2.18307407293796,7750.0,17460.0,17468902503.5229,39360046679.7724,3.9774248760432704,2254126.0,581730.0,9.5,3.681548740744,269200000.0,,7.8366555775719,575300000.0,7432125624.076091,02/04/2020,Full,7.81,9.17,7.14,6.11,7.5,9.12,Flawed democracy,3.52,27.89,32.32,20.48,19.31,20.1935,69.097275,71.21556243896484,206.11011000000002
CAF,Africa,Central African Republic,2020-06-23,2963.0,30.0,613.488,2.251,661.24,,435.727,6.1,16.602999999999998,0.72,27.3,5.221772640943526,3.789443592754621,2.22474284797838,490.0,1030.0,2296440918.7681108,4793210255.96961,7.4904122122700585,4666377.0,622980.0,8.6,,,,,,1054197551.84661,,None,1.32,1.25,0.0,1.11,1.88,2.35,Authoritarian,4.91,13.5,28.08,23.94,34.48,,52.79829000000001,7.157189952135076,412.553725
CAN,North America,Canada,2020-06-23,101637.0,8436.0,2692.93,10.797,44017.59099999999,0.5,105.599,7.37,,23.11,75.3,10.420859754085539,1.89697475634192,0.482418663130375,44950.0,49430.0,1665565135891.87,1831814016986.75,4.07518823864492,37057765.0,9984670.0,27.0,5.748451006283998,33581000000.0,21134000.0,3.99272696039482,21978000000.0,578789449519.366,12/03/2020,Full,9.22,9.58,9.64,7.78,9.38,9.71,Full democracy,2.45,28.2,49.59,19.2,3.02,14.323,81.97900000000001,84.7878554916382,
CHE,Europe,Switzerland,2020-06-23,31310.0,1680.0,3617.722,12.644,57410.166,,99.739,5.59,,42.96,67.0,11.852029412984841,2.75051698095396,2.00960569244847,84450.0,70140.0,718905345464.828,597120517941.947,215.437463043118,8513227.0,41290.400390625,32.5,5.436047516233129,20722000000.0,10362000.0,4.38504393766401,20276000000.0,375480873839.652,18/03/2020,Full,9.03,9.58,9.29,7.78,9.38,9.12,Full democracy,2.24,35.98,44.59,17.77,1.66,25.7815,83.58,85.37412719726566,
CHL,South America,Chile,2020-06-23,246963.0,4502.0,12919.036,6.938,22767.037,1.3,127.993,8.46,,25.91,58.3,8.211135417222978,4.02465296525456,2.5876764943491297,14670.0,23750.0,274752205940.077,444762383714.834,25.189446066651893,18729160.0,756700.0,22.6,3.62835496442146,3086000000.0,5723000.0,4.633421786005769,3972000000.0,80635442457.6638,26/03/2020,Full,8.08,9.58,8.57,5.0,8.13,9.12,Full democracy,3.57,11.61,39.41,37.07,11.91,37.8865,79.94235499999999,73.08633373260498,83.59517
CHN,Asia,China,2020-06-23,84624.0,4639.0,58.794,5.9289999999999985,15308.712,0.7,261.899,9.74,,19.8,48.2,4.901009276509286,6.56697385961871,6.08224115521752,9460.0,15320.0,13181372605622.5,21334175836880.4,148.348833270666,1392730000.0,9562910.0,24.9,10.8847797754834,277345000000.0,62900000.0,1.52341960462756,40386000000.0,2476286917545.57,23/01/2020,Full,2.26,0.0,4.29,3.33,2.5,1.18,Authoritarian,3.38,8.59,48.82,35.47,7.12,25.3825,76.77749,52.712965545654285,77.192025
CIV,Africa,Cote d'Ivoire,2020-06-23,7492.0,54.0,284.022,1.582,3601.006,28.2,303.74,2.42,19.351,2.31,35.5,4.741506129503252,7.433071624644572,4.72569209854963,1600.0,3660.0,40218176717.5251,91791657140.5499,78.8340534591195,25069229.0,322460.0,10.6,,,1965000.0,,,12984694262.4392,29/03/2020,Full,4.05,4.33,2.86,3.33,5.63,4.12,Hybrid regime,5.09,12.18,24.73,25.87,37.22,,57.48355000000001,25.560455522537197,343.00227
CMR,Africa,Cameroon,2020-06-23,11892.0,303.0,447.979,1.919,3364.926,23.8,244.661,7.2,2.735,0.88,34.4,4.617345705628396,4.06240531944661,1.37919198196641,1440.0,3610.0,36356256723.8828,91110890394.5081,53.3439889149796,25216237.0,475440.0,31.1,10.863748398997,915000000.0,,8.66995237929682,633000000.0,9301226636.81003,,None,2.85,1.67,2.5,3.33,4.38,2.35,Authoritarian,4.99,15.14,22.69,24.44,37.72,,58.91132,22.742989988327018,299.6938
COD,Africa,Democratic Republic of Congo,2020-06-23,5925.0,135.0,66.156,1.745,808.133,77.1,318.949,6.1,4.472,0.74,26.5,3.870529532432556,5.757932738274518,2.39991066397216,490.0,1070.0,41538869211.4581,90136750718.699,37.0825923557045,84068091.0,2344860.0,8.9,0.646996731516002,115000000.0,,0.376205306165348,60500000.0,16666815693.8015,19/03/2020,Full,1.13,0.0,0.0,1.67,3.13,0.88,Authoritarian,5.3,7.25,21.19,27.81,43.74,,60.361255,18.091924867630013,249.34967999999998
COG,Africa,Congo,2020-06-23,1087.0,37.0,196.988,2.063,4881.406,37.0,344.094,7.2,47.964,1.65,23.6,2.965693213045596,1.02555420747001,-1.5492440284501,1640.0,3000.0,8613989208.89088,15739120784.6121,15.3568462664715,5244363.0,342000.0,11.3,,,156000.0,,,3765904294.67957,,None,3.11,2.17,2.5,3.89,3.75,3.24,Authoritarian,4.31,13.09,29.9,29.08,27.94,27.253,64.25567000000001,22.640964984893795,260.083355
COL,South America,Colombia,2020-06-23,71183.0,2310.0,1398.958,4.312,13254.949,4.5,124.24,7.44,65.38600000000001,21.85,44.2,7.229332476854322,2.5692209880733503,1.02471485612077,6180.0,14310.0,306905190832.81,710321619838.621,44.7487021180712,49648685.0,1141748.984375,18.1,8.92578599998057,5625000000.0,3904000.0,12.232457450062402,6617000000.0,71886451618.9838,25/03/2020,Full,7.13,9.17,6.79,5.56,5.63,8.53,Flawed democracy,3.53,11.13,42.41,34.8,11.66,9.144,77.066855,48.93066020965576,115.17558500000001
COM,Africa,Comoros,2020-06-23,247.0,5.0,284.04,1.726,1413.89,18.1,261.516,11.88,15.574000000000002,2.72,27.2,7.5995607674121874,3.43076413622954,1.14050990405651,1380.0,3160.0,1145390532.21578,2629907388.7251,447.24447754022697,832322.0,1861.00006103516,6.1,12.836934747755802,45000000.0,35900.0,50.435115974049104,76700000.0,351750711.97989,,,3.15,2.08,2.21,3.89,3.75,3.82,Authoritarian,5.37,4.91,22.92,28.71,43.46,14.096,64.131995,29.496595802307148,220.23646
CPV,Africa,Cape Verde,2020-06-23,944.0,8.0,1697.878,3.437,6222.554,,182.219,2.42,,7.81,29.3,5.08890338242054,5.07755082887782,3.86593584728266,3420.0,6900.0,1859911111.20433,3752746269.03999,134.92977667493798,543767.0,4030.0,23.6,7.256545194715461,97000000.0,710000.0,54.09647196779739,524000000.0,1295138220.9488401,,None,7.78,9.17,7.36,6.67,6.88,8.82,Flawed democracy,,,,,,9.372,72.62804500000001,59.90796714782712,134.341945
CRI,North America,Costa Rica,2020-06-23,2277.0,12.0,446.986,5.694,15524.995,1.3,137.97299999999998,8.78,83.84100000000002,28.94,45.1,7.6870398223400125,2.63398496797504,1.61806178494115,11520.0,18670.0,57572716407.2607,93354000498.6141,97.91306306306309,4999441.0,51100.0,45.6,5.8792643364262105,1162000000.0,3017000.0,19.4270741209992,3995000000.0,19981384409.4599,15/03/2020,Full,8.13,9.58,7.5,6.67,7.5,9.41,Full democracy,3.46,11.23,42.7,35.83,10.25,11.954999999999998,80.108545,75.2766925430298,85.30455
CUB,North America,Cuba,2020-06-23,2315.0,85.0,204.386,9.719,,,190.968,8.27,85.198,84.22,35.2,11.86306431889536,2.24848039303581,2.2585896849249,,,,,108.99959623149401,11338138.0,109880.0,53.2,,,4684000.0,,2969000000.0,12596000000.0,,None,2.84,0.0,3.57,3.33,4.38,2.94,Authoritarian,3.14,13.73,49.55,30.23,6.5,35.381,78.714785,75.70205806732179,93.791525
CUW,North America,Curacao,2020-06-23,23.0,1.0,140.158,10.068,,,,11.62,,,,,-2.16613204691582,-1.93654693751401,,,,,,159800.0,,,18.9290316969616,535000000.0,432000.0,31.4946546770122,605000000.0,2695027932.96089,,,,,,,,,,,,,,,,,,97.0889
CYM,North America,Cayman Islands,2020-06-23,195.0,1.0,2967.133,,49903.029,,,13.22,,,,,,,,,,,267.391666666667,64174.0,260.0,,,,463000.0,,880000000.0,,,,,,,,,,,,,,,,,,,
CYP,Europe,Cyprus,2020-06-23,988.0,19.0,1127.984,8.562999999999999,32415.132,,141.171,9.24,,19.51,43.0,6.792625486850739,4.06019176189083,2.79853064701692,28570.0,39880.0,24858679564.5598,35910212777.3666,128.708333333333,1189265.0,9250.0,17.9,8.61809977457805,1551000000.0,3939000.0,18.9232403187276,3449000000.0,17568118213.3662,25/03/2020,Full,7.59,9.17,6.43,6.67,6.88,8.82,Flawed democracy,2.76,20.76,49.14,26.04,4.06,36.3155,80.80311,86.9344359588623,48.95614
CZE,Europe,Czech Republic,2020-06-23,10561.0,336.0,986.182,11.58,32605.906000000006,,227.485,6.82,,41.21,52.0,7.416695058345796,2.95778447296561,2.6140406798801203,20230.0,38180.0,215038293241.315,405815680957.096,137.657705257705,10629928.0,78870.0,22.0,3.44128525812406,6074000000.0,10611000.0,4.328961271728431,8291000000.0,171040783176.531,16/03/2020,Full,7.69,9.58,6.79,6.67,6.88,8.53,Flawed democracy,2.4,27.28,51.34,20.37,1.02,34.439,79.0205,83.4677341461182,
DEU,Europe,Germany,2020-06-23,190862.0,8895.0,2278.026,15.957,45229.245,,156.139,8.31,,42.49,66.0,11.071575433015822,1.5274462983098105,1.2227872325513502,47110.0,55980.0,3905321667025.8,4641067663123.45,237.30759674834,82905782.0,357580.0,30.7,6.38584147088565,104204000000.0,38881000.0,3.21061326385825,60260000000.0,1581726804917.64,20/03/2020,Full,8.68,9.58,8.57,8.33,7.5,9.41,Full democracy,2.05,39.53,47.0,12.71,0.76,30.674500000000002,81.0265,90.2440724563599,
DJI,Africa,Djibouti,2020-06-23,4599.0,48.0,4654.849,2.38,2705.406,22.5,258.03700000000003,6.05,,2.24,23.2,3.9383959025144577,5.46019075866732,3.82998551984062,3190.0,5400.0,3063660865.49052,5181369318.92406,41.368421052631604,958920.0,23200.0,26.2,0.5323502546798771,22300000.0,,1.2493790129821398,57000000.0,4764117191.0871,,None,2.77,0.42,1.29,3.89,5.63,2.65,Authoritarian,,,,,,13.214,66.682755,51.27018440246584,205.50996
DMA,North America,Dominica,2020-06-23,18.0,0.0,250.031,,9673.367,,227.376,11.62,,11.19,24.0,5.451088473200798,2.26457023430542,2.02613137595806,7090.0,10900.0,508130318.140223,780657964.468475,95.5,71625.0,750.0,25.0,6.95363495546831,30000000.0,63000.0,68.538006850991,111000000.0,525825851.851852,,None,,,,,,,,,,,,,,,,
DNK,Europe,Denmark,2020-06-23,12527.0,602.0,2162.735,12.325,46682.515,0.2,114.767,6.41,,40.1,70.4,10.171633064746858,2.3913296854181696,1.88489021571982,60170.0,57980.0,348630649463.169,335929123705.254,137.976565849012,5793636.0,42920.0,37.4,5.9414777290166,10485000000.0,12749000.0,4.5977543727180805,9097000000.0,171026740124.825,11/03/2020,Full,9.22,10.0,9.29,8.33,9.38,9.12,Full democracy,,,,,,19.0475,81.38,92.04695602416992,
DOM,North America,Dominican Republic,2020-06-23,27370.0,669.0,2523.068,4.419,14600.861,1.6,266.653,8.2,55.182,15.27,38.3,5.9653552621603,6.98252758438241,5.83455956557802,7760.0,17330.0,82507627531.8255,184145702605.61,219.97857586421,10627165.0,48670.0,26.8,4.05381363470776,957000000.0,6569000.0,37.446079329625505,7561000000.0,26048691000.4698,17/03/2020,Full,6.54,9.17,5.36,6.11,5.0,7.06,Flawed democracy,3.48,14.33,39.85,33.08,12.73,13.853,73.968545,58.476405696868866,156.363495
