total_deaths,total_deaths_per_million,gdp_per_capita,cvd_death_rate,health_expenditure_5y_avg,iso_code,location
598.0,16.08721054386985,1803.987,597.029,10.235867053270347,AFG,Afghanistan
9.0,0.2921152068620329,5819.495,276.045,2.655480094254014,AGO,Angola
303.0,31.461041418616777,67293.483,317.84,3.50889950990677,ARE,United Arab Emirates
1043.0,23.441098408068484,18933.907,191.032,8.41735973954201,ARG,Argentina
360.0,121.96047396550416,8787.58,341.01,10.186804085969909,ARM,Armenia
3.0,31.157177575140725,21490.943,191.511,4.85242560505867,ATG,Antigua and Barbuda
102.0,4.082827276232245,44648.71,107.791,9.102673083543776,AUS,Australia
690.0,78.04969865463812,45436.685999999994,145.183,10.367483645677561,AUT,Austria
161.0,16.197509004205315,15847.419,559.812,6.110159382224082,AZE,Azerbaijan
1.0,0.08948243182467742,702.225,293.068,7.324026525020603,BDI,Burundi
9696.0,848.0523833280738,42658.575999999994,114.898,10.34148216247558,BEL,Belgium
13.0,1.1319064578572071,2064.236,235.84799999999998,3.8236450403928735,BEN,Benin
53.0,2.683335750866958,1703.102,269.048,6.326977238059041,BFA,Burkina Faso
1502.0,9.308607284292595,3523.9840000000013,298.003,2.4097004160285005,BGD,Bangladesh
207.0,29.46603697603301,18563.307,424.68800000000016,8.179084956645966,BGR,Bulgaria
65.0,41.416072876996175,43290.705,151.689,4.659791961312296,BHR,Bahrain
11.0,28.524012031946892,27717.847,235.954,5.892165005207058,BHS,Bahamas
170.0,51.144293394955184,11713.895,329.635,9.292226433753967,BIH,Bosnia and Herzegovina
351.0,37.01165571905475,17167.967,443.129,5.797037780284881,BLR,Belarus
2.0,5.220964259889159,7824.361999999999,176.957,5.802941843867301,BLZ,Belize
820.0,72.22670164787863,6885.829000000002,204.299,6.322618722915652,BOL,Bolivia
51271.0,244.76613958569297,14103.452,177.96099999999996,8.783406764268875,BRA,Brazil
7.0,24.42079116386002,16978.068,170.05,7.060834467411044,BRB,Barbados
3.0,6.993626475072384,71809.25099999999,201.285,2.224253155291082,BRN,Brunei
0.0,0.0,8708.597,217.06599999999997,3.4846045076847063,BTN,Bhutan
1.0,0.44363092391463477,15807.374,237.372,5.8487419039010975,BWA,Botswana
30.0,6.428970483953611,661.24,435.727,5.221772640943526,CAF,Central African Republic
8436.0,227.64459756275102,44017.59099999999,105.59899999999999,10.420859754085539,CAN,Canada
1680.0,197.33997460657397,57410.166,99.73899999999999,11.852029412984841,CHE,Switzerland
4502.0,240.37383417088645,22767.037,127.993,8.211135417222978,CHL,Chile
4639.0,3.3308681510414795,15308.712,261.899,4.901009276509286,CHN,China
54.0,2.154035132073667,3601.006,303.74,4.741506129503252,CIV,Cote d'Ivoire
303.0,12.016067266499755,3364.926,244.66099999999997,4.617345705628396,CMR,Cameroon
135.0,1.6058411508356958,808.133,318.949,3.870529532432556,COD,Democratic Republic of Congo
37.0,7.055194310538763,4881.406,344.094,2.9656932130455966,COG,Congo
2310.0,46.52691204208128,13254.948999999999,124.24,7.229332476854322,COL,Colombia
5.0,6.007290447687313,1413.89,261.51599999999996,7.5995607674121874,COM,Comoros
8.0,14.712183711038,6222.554,182.21900000000002,5.08890338242054,CPV,Cape Verde
12.0,2.40026835000153,15524.995,137.97299999999998,7.6870398223400125,CRI,Costa Rica
19.0,15.97625424106486,32415.132,141.171,6.7926254868507385,CYP,Cyprus
336.0,31.608868846524643,32605.90600000001,227.485,7.416695058345796,CZE,Czech Republic
8895.0,107.2904661824431,45229.245,156.139,11.071575433015823,DEU,Germany
48.0,50.056313352521585,2705.406,258.03700000000003,3.9383959025144577,DJI,Djibouti
0.0,0.0,9673.367,227.37599999999998,5.451088473200798,DMA,Dominica
602.0,103.9071146340571,46682.515,114.76700000000001,10.171633064746858,DNK,Denmark
669.0,62.95187851134334,14600.861,266.653,5.9653552621603,DOM,Dominican Republic
852.0,20.175981446053793,13913.839,278.36400000000003,6.507923826575277,DZA,Algeria
4223.0,247.18518818121163,10581.936000000003,140.44799999999998,8.46459120512009,ECU,Ecuador
2278.0,23.144856677913463,10550.206,525.432,5.0666306912899035,EGY,Egypt
28324.0,605.2584229517823,34272.36,99.40299999999999,8.999511450529097,ESP,Spain
69.0,52.194554065615364,29481.252,255.56900000000002,6.28912940621376,EST,Estonia
75.0,0.6866587577616129,1729.9270000000001,182.63400000000001,3.8814739882946014,ETH,Ethiopia
327.0,59.2871938754697,40585.721,153.507,9.301035404205322,FIN,Finland
0.0,0.0,8702.975,412.82,3.5440714657306662,FJI,Fiji
29663.0,442.88267034286804,38605.671,86.06,11.4515496790409,FRA,France
39.0,18.40251972962452,16562.413,259.967,2.7839146926999083,GAB,Gabon
42647.0,641.6909307601537,39753.244,122.137,9.708006083965305,GBR,United Kingdom
14.0,3.756827026828307,9745.079,496.218,8.157981485128401,GEO,Georgia
85.0,2.8555007762258935,4227.63,298.245,4.013823196291924,GHA,Ghana
27.0,2.1749080376384753,1998.9260000000002,336.717,4.7029611468315125,GIN,Guinea
2.0,0.8771537413677107,1561.767,331.43,3.3717564120888706,GMB,Gambia
19.0,10.137069181228922,1548.675,382.474,8.049256205558777,GNB,Guinea-Bissau
32.0,24.446627664109446,22604.873,202.812,2.6496435701847085,GNQ,Equatorial Guinea
190.0,17.704514632594982,24574.382,175.695,8.155658096075053,GRC,Greece
0.0,0.0,13593.877,243.96400000000003,4.913025349378588,GRD,Grenada
547.0,31.71417676461709,7423.808000000001,155.898,5.9789830446243295,GTM,Guatemala
12.0,15.40428547221837,7435.047,373.159,4.959758967161178,GUY,Guyana
