total_cases,total_cases_per_million,gdp_per_capita,health_expenditure_5y_avg,Population density (people per sq. km of land area),lockdown_type,"International tourism, expenditures (% of total imports)",iso_code,location
3519.0,539.377,3393.474,7.058553993701935,32.965589155370196,Partial,7.7287471074529694,KGZ,Kyrgyzstan
130.0,7.776,3645.07,6.407017484307293,92.05641287106279,Partial,4.93803121314257,KHM,Cambodia
15.0,281.997,24654.385,4.997950494289398,201.69615384615398,None,9.934430179688633,KNA,Saint Kitts and Nevis
12484.0,243.49900000000002,35938.373999999996,7.074870467185974,529.358501289308,Full,5.35544908357113,KOR,South Korea
40291.0,9434.587,65530.537000000004,3.8125365972518903,232.172222222222,Partial,20.992662623811,KWT,Kuwait
19.0,2.611,6397.36,2.4081863090395936,30.5957842287695,None,12.9676847934516,LAO,Laos
1603.0,234.857,13367.565,7.824720740318298,669.4941348973607,Full,19.467912329036697,LBN,Lebanon
650.0,128.517,752.788,9.098421335220332,50.030907392026606,None,0.618232004984871,LBR,Liberia
19.0,103.469,12951.839,5.057272762060166,298.17868852459,Full,8.719713187854751,LCA,Saint Lucia
1951.0,91.11200000000001,11669.077,3.8056103885173798,345.558922022006,Full,9.26581828380392,LKA,Sri Lanka
1801.0,661.575,29524.265,6.382509917020795,44.7230757742448,Full,2.8191957924283906,LTU,Lithuania
4121.0,6583.319,94277.965,5.531493350863456,250.18518518518502,Full,2.98337118191031,LUX,Luxembourg
1111.0,589.014,25063.846,5.749250799417496,30.99347056931489,Full,3.68059042893868,LVA,Latvia
10172.0,275.585,7485.013000000001,5.309188589453695,80.72851893345279,Full,5.44913861570711,MAR,Morocco
14363.0,3560.5190000000002,5189.972,8.084456026554111,123.51980353223999,Full,6.860987218389488,MDA,Moldova
1640.0,59.225,1416.44,5.330600440502166,45.1398556204881,Partial,6.38436038582579,MDG,Madagascar
2217.0,4101.439,15183.616000000002,8.79278108477593,1718.9866666666699,Full,10.567193945527901,MDV,Maldives
185122.0,1435.8029999999999,17336.468999999994,5.700176879763607,64.9146264050001,Partial,2.8003696126079203,MEX,Mexico
5196.0,2494.024,13111.214,6.358608901500701,82.59151467089609,Full,3.05771361935185,MKD,Macedonia
1961.0,96.836,2014.306,4.026185348629951,15.635015858186,Full,0.30510332665977113,MLI,Mali
665.0,1506.096,36513.323,9.188717007637024,1514.46875,Full,2.87379449240067,MLT,Malta
215.0,65.583,11840.846000000001,4.184305146336556,2.0406086665465097,Full,9.695972286836133,MNG,Mongolia
737.0,23.58,1136.103,5.349588319659231,37.508535313716,None,1.28352669775177,MOZ,Mozambique
2984.0,641.7669999999998,3597.633,4.250883311033247,4.27216357815077,None,1.1571481639661398,MRT,Mauritania
340.0,267.345,20292.745,5.4604995250701895,623.30197044335,Partial,9.55711083856597,MUS,Mauritius
8587.0,265.309,26808.164,3.7797204405069333,95.9628214883579,Full,5.98545872369598,MYS,Malaysia
63.0,24.794,9541.808,8.982652127742769,2.9737455817512704,Full,1.08868818751433,NAM,Namibia
1046.0,43.21100000000001,926.0,6.567399203777312,17.717650588142398,None,0.43503833924204083,NER,Niger
20919.0,101.48,5338.4540000000015,3.550864383578302,215.06498896538105,Full,18.451265655985697,NGA,Nigeria
2014.0,304.02,5321.444,8.194318562746044,53.7270483629716,None,5.1855814091706,NIC,Nicaragua
49658.0,2898.066,48472.545,10.375210493803044,511.47592757494795,Full,3.85310378322941,NLD,Netherlands
8745.0,1613.099,64800.057,9.863836616277686,14.5482916341657,Full,13.175788618555801,NOR,Norway
9026.0,309.78,2442.804,5.828711241483688,195.939107080572,Full,6.26698468458562,NPL,Nepal
1165.0,241.58900000000003,36085.843,9.316181838512422,18.3851733697923,Full,8.023966068493849,NZL,New Zealand
31076.0,6085.432,37960.709,3.7600989639759055,15.6041453957997,Partial,9.094428810836801,OMN,Oman
185034.0,837.666,5034.708,2.7531329914927483,275.28931870070596,Full,4.23688702829611,PAK,Pakistan
26752.0,6200.102,22267.037,6.98603093624115,56.1860774818402,Full,4.5221779077851,PAN,Panama
254936.0,7731.93,12236.706,4.956688657402991,24.99160625,Full,6.64082116705214,PER,Peru
30682.0,279.994,7599.188,4.353193342685702,357.688305329175,Partial,9.614105961599439,PHL,Philippines
32227.0,851.5160000000003,27216.445,6.442192643880844,124.023482151605,Full,3.4739665375282,POL,Poland
39392.0,3863.208,27936.896,9.018246978521349,112.26194121729999,Full,6.2770481683130015,PRT,Portugal
1392.0,195.162,8827.01,6.569114774465557,17.5083589227284,Partial,3.95577302466936,PRY,Paraguay
88403.0,30684.193,116935.6,2.654688954353332,239.59319552110298,Full,17.860239113011,QAT,Qatar
24291.0,1262.678,23313.199,5.063401088118554,84.60598487482609,Full,4.68378784248232,ROU,Romania
592280.0,4058.534,24765.953999999998,5.2364442497491845,8.82207955488442,Full,11.295195961647902,RUS,Russia
787.0,60.762,1854.211,6.702383309602737,498.659870287799,Full,11.993097895119199,RWA,Rwanda
161005.0,4624.738,49045.41099999999,5.351573154330252,15.6766543082956,Full,8.56023595709856,SAU,Saudi Arabia
5970.0,356.54699999999997,2470.58,4.312078282237052,82.3474783150678,Partial,0.21626002765398644,SEN,Senegal
42313.0,7232.566999999999,85535.383,4.1346968710422525,7952.9984184018,Partial,4.550200571206151,SGP,Singapore
1340.0,167.983,1390.3,16.3310869038105,105.987170961485,None,3.77996675695004,SLE,Sierra Leone
4808.0,741.2660000000003,7292.4580000000005,7.594985663890839,309.88146718146703,Full,3.87690476314776,SLV,El Salvador
12990.0,1909.004,14048.881000000001,8.891468495130539,79.8376857992225,Full,6.16852555527403,SRB,Serbia
319.0,543.78,13767.118999999999,5.674896091222763,3.69225,None,4.93243932748648,SUR,Suriname
1588.0,290.862,30155.152000000002,7.024033665657044,113.28558652246299,Full,2.80815871532977,SVK,Slovakia
1521.0,731.6260000000003,31400.84,8.493027538061144,102.96366052404,Full,4.21483334690866,SVN,Slovenia
58932.0,5835.273,46949.282999999996,11.04345306754112,24.981498121823698,None,7.42430835750222,SWE,Sweden
643.0,554.232,7738.975,7.1448290348053005,66.05761627906979,None,2.08039961827122,SWZ,Swaziland
11.0,111.85700000000001,26382.287,4.803862646222114,210.35217391304298,None,5.49025352034366,SYC,Seychelles
858.0,52.235,1768.1529999999998,4.461597949266435,12.2917336404066,None,0.3801317565264327,TCD,Chad
569.0,68.73,1429.8129999999999,6.336215957999233,145.04677330391598,Partial,0.6608328314355675,TGO,Togo
3151.0,45.143,16277.671,3.6629690229892717,135.897206835131,Full,5.17345477997521,THA,Thailand
24.0,18.203,6570.102,3.0946988984942445,85.270477471419,None,12.361705360927598,TLS,Timor
123.0,87.889,28763.071,6.031748205423354,270.927485380117,Full,1.6228151775821498,TTO,Trinidad and Tobago
1159.0,98.066,10849.296999999999,6.980008780956267,74.44132337796091,Full,3.87008547532526,TUN,Tunisia
188897.0,2239.7329999999997,25129.341,4.284106940031052,106.960128893104,Full,2.01651010072454,TUR,Turkey
509.0,8.521,2683.304,3.9839930087327935,63.579078798825904,None,8.27664312087966,TZA,Tanzania
774.0,16.921,1697.707,6.642394885420803,213.06173449032502,Full,3.86320475774774,UGA,Uganda
37241.0,851.539,7894.393,6.937526315450666,77.02966735141291,Full,11.7542764744263,UKR,Ukraine
882.0,253.90599999999998,20551.409,9.010100215673448,19.7080276539824,Full,9.963400418400633,URY,Uruguay
2312302.0,6985.751,54225.445999999996,16.7955181002617,35.7136220923495,Full,5.960641637946018,USA,United States
6500.0,194.208,6253.104,6.1098602414131165,77.46920545369059,Partial,11.6108708806334,UZB,Uzbekistan
29.0,261.38599999999997,10727.146,4.414735585451125,282.589743589744,None,10.644125068079301,VCT,Saint Vincent and the Grenadines
349.0,3.585,6171.884,5.7924252003431285,308.12524591221296,Full,2.40608364448114,VNM,Vietnam
101590.0,1712.902,12294.876,8.012191653251648,47.630119776768396,Full,5.82867789187758,ZAF,South Africa
1430.0,77.785,3689.2509999999997,4.380560666322708,23.341478900711603,None,4.6894811701325,ZMB,Zambia
512.0,34.448,1899.775,7.23239406943321,37.3245909267158,Full,0.24884728929562236,ZWE,Zimbabwe
